Name,Formula,Annot. Source: Predicted Compositions,Annot. Source: mzCloud Search,Annot. Source: Metabolika Search,Annot. Source: ChemSpider Search,Annot. DeltaMass [ppm],Calc. MW,RT [min],Area (Max.),# mzCloud Results,mzCloud Best Match,mzCloud Best Match Confidence,KEGG Pathways,MS2,Group Area: CTRL1,Group Area: F1154_1,Group Area: F1177_1,Group Area: F1246_1,Group Area: CTRL2,Group Area: CTRL3,Group Area: F1154_2,Group Area: F1177_3,Group Area: F1246_2,Group Area: F1154_3,Group Area: F1246_3,Gap Fill Status: 2plus_RP_pos_MS2.raw (F14),Gap Fill Status: 10plus_RP_pos_MS2.raw (F15),Gap Fill Status: 14plus_RP_pos_MS2.raw (F16),Gap Fill Status: 19plus_RP_pos_MS2.raw (F17),Gap Fill Status: 23plus_RP_pos_MS2.raw (F18),Gap Fill Status: 40plus_RP_pos_MS2.raw (F19),Gap Fill Status: 41plus_RP_pos_MS2.raw (F20),Gap Fill Status: 46plus_RP_pos_MS2.raw (F21),Gap Fill Status: 47plus_RP_pos_MS2.raw (F22),Gap Fill Status: 57plus_RP_pos_MS2.raw (F23),Gap Fill Status: 59plus_RP_pos_MS2.raw (F24),Gap Fill Status: 60plus_RP_pos_MS2.raw (F25),Gap Fill Status: Bplus_RP_pos_MS2.raw (F26)
Isoleucine,C6 H13 N O2,Full match,Full match,Partial match,Not the top hit,-0.23,131.0946,3.943,690581257.1,37,99.8,10,"Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Biosynthesis of amino acids;Biosynthesis of plant secondary metabolites;ABC transporters;2-Oxocarboxylic acid metabolism;Protein digestion and absorption;Central carbon metabolism in cancer;Aminoacyl-tRNA biosynthesis;Tropane, piperidine and pyridine alkaloid biosynthesis;Cyanoamino acid metabolism;Other",DDA for preferred ion,4546665.498,474245844.2,405734711,299405508.1,602726902.4,690581257.1,425204660.4,55822609.66,3455552.991,9184624.663,2486249.184,16,0,64,64,128,0,0,0,16,16,16,16,16
D-Raffinose,C18 H32 O16,No match,Invalid mass,No results,No results,43600.48,526.15105,1.798,682879586.9,11,94.4,71.8,,DDA for preferred ion,682879586.9,20676761.69,23555949.08,249251777.9,534952063.8,568459554.2,13262398.24,15600981.52,240569261.2,20022408.8,205922072.6,0,128,128,128,16,0,64,128,128,128,128,0,32
"N,N-dimethyl-5-nitro-6-[3-(trifluoromethyl)phenoxy]pyrimidin-4-amine",C13 H11 F3 N4 O3,No match,Full match,No results,No match,-3.63,328.07713,6.194,681278853.9,15,76.4,8.8,,DDA for preferred ion,681278853.9,2344353.601,2536598.645,313713056.2,558584493.7,303832012.8,2938233.996,2323958.649,95118889.15,737212.9699,30694272.42,16,16,16,0,16,16,0,16,16,128,128,128,32
methyl N-acetylneuraminate,C12 H21 N O9,Full match,Invalid mass,No results,Full match,0.09,323.12166,6.037,656655264.7,304,,,,DDA for preferred ion,30594649.83,2298103.696,2726050.699,17694361.44,496183265.4,656655264.7,2097908.878,2943676.18,6907848.529,2509829.793,3333517.586,16,16,16,16,32,0,0,16,16,16,16,16,32
"1-{[(3S,4S,5R)-2,3,4-Trihydroxy-5-(hydroxymethyl)tetrahydro-2-furanyl]methyl}-2-pyrrolidinecarboxylic acid (non-preferred name)",C11 H19 N O7,Full match,Invalid mass,No results,Not the top hit,0.01,277.11615,1.673,656250129.8,11,,,,DDA for preferred ion,534915672.6,325487765.3,96494163.04,656250129.8,482559252,578265116.6,84389851.72,62240844.58,564725141.7,275871330.3,401158896.7,0,0,128,0,16,0,0,128,128,0,0,0,32
DL-Tryptophan,C11 H12 N2 O2,No match,Invalid mass,No results,No match,-83426.81,187.06331,8.424,649995922.3,38,99.6,98.9,Microbial metabolism in diverse environments;Other,DDA for preferred ion,293535287.9,6013761.892,1118838.287,2842802.528,6064518.486,7048810.001,2320212.771,649995922.3,122775085.5,466309796.5,46110264.49,0,16,16,16,16,16,16,16,64,0,0,128,32
DL-Tryptophan,C11 H12 N2 O2,No match,Invalid mass,No results,No match,-83426.73,187.06333,8.475,649995922.3,57,99.7,98.9,Microbial metabolism in diverse environments;Other,DDA for preferred ion,15174977.42,279421882.4,212577449.1,187768074.7,300458166.7,358218053.3,264416391.8,649995922.3,1954539.642,9410658.936,525968.6939,16,0,0,0,128,0,0,0,64,16,16,16,32
"4-(4-hydroxy-2-methoxy-3,5,6-trimethylbenzoyloxy)-2-methoxy-3,5,6-trimethylbenzoic acid",C22 H26 O7,Not the top hit,Full match,No results,Partial match,0.13,402.1679,19.618,633309591.3,32,99.2,10,,DDA for preferred ion,256300.8884,262116.3609,580133.8115,633309591.3,1186209.35,262879.3887,290674.2275,292591.6259,562782673.9,255802.4188,620469719.7,32,32,16,0,32,128,32,32,32,0,32,0,32
"3',4'-Dimethoxyacetophenone",C10 H12 O3,Full match,Full match,No results,Full match,-0.03,180.07864,12.271,625563644.6,48,63.3,43.1,Metabolic pathways;Biosynthesis of secondary metabolites;Phenylpropanoid biosynthesis;Biosynthesis of phenylpropanoids;Biosynthesis of various plant secondary metabolites;Other,DDA for preferred ion,112358.174,389306311.7,179447171,259501.7357,109757.5682,115519.0185,486749658.7,54551628.35,91659.79689,625563644.6,88226.95533,32,0,0,16,32,32,32,0,0,32,0,32,16
"Methyl (5-acetamido-2,2-dimethyl-4,6-dioxo-1,3-dioxan-5-yl)acetate",C11 H15 N O7,Full match,No results,No results,Full match,0.04,273.08486,3.31,619038530.8,0,,,,DDA for preferred ion,220690735.3,30845287.32,33018001,24610646.05,23253424.34,1115213.288,20263694.33,36506981.97,545589546.9,619038530.8,487483308.6,0,16,16,16,16,16,128,16,16,0,0,0,16
"4-[(Z)-(4-Oxo-4,5-dihydro-1,2,5-oxadiazol-3-yl)-NNO-azoxy]-1,2,5-oxadiazol-3(2H)-one",C4 H2 N6 O5,Full match,Invalid mass,No results,Full match,1.16,214.00891,2.739,602490473.2,2,,,,DDA for preferred ion,532351523.7,267175772.6,96022441.5,600965297.2,544521965.5,602490473.2,175258351.5,185020842,12197624.59,746298.421,14425699.51,64,0,0,64,128,64,64,0,0,16,16,16,32
"3,4-Dihydroxyphenylpropionic acid",C9 H10 O4,No match,Invalid mass,No match,No match,-98927.47,164.04738,17.337,602356477.7,6,83,9.1,"Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Biosynthesis of amino acids;Biosynthesis of plant secondary metabolites;2-Oxocarboxylic acid metabolism;Phenylpropanoid biosynthesis;Biosynthesis of phenylpropanoids;D-Amino acid metabolism;Degradation of aromatic compounds;Phenylalanine, tyrosine and tryptophan biosynthesis;Tropane, piperidine and pyridine alkaloid biosynthesis;Biosynthesis of various plant secondary metabolites;Other",DDA for preferred ion,597798.0888,303405.698,308413.7293,602356477.7,622677.5977,669474.6718,369909.2213,402259.2273,508248909.8,497125.299,433324041.8,16,16,32,0,16,16,16,16,16,0,16,0,16
"Methyl (5-acetamido-2,2-dimethyl-4,6-dioxo-1,3-dioxan-5-yl)acetate",C11 H15 N O7,Full match,No results,No results,Full match,0.12,273.08488,3.368,591610130.9,0,,,,DDA for preferred ion,15193439.32,513657587.3,588948954.2,572112901.2,211992360.4,256911602.2,488385015.8,591610130.9,29026333.21,40271221.98,12586109.72,16,0,0,64,128,0,0,0,0,16,16,16,16
"Methyl (5-acetamido-2,2-dimethyl-4,6-dioxo-1,3-dioxan-5-yl)acetate",C11 H15 N O7,Full match,No results,No results,Full match,0.02,273.08486,3.39,588948954.2,0,,,,DDA for preferred ion,13710040.44,513657587.3,588948954.2,572112901.2,211992360.4,256911602.2,488385015.8,33214731.24,25869637.49,35740653.52,12080517.7,16,64,64,0,128,64,64,64,16,16,16,16,16
"1,2-di-O-methyl-4-[(2R)-2,4-dihydrobutyramido]-4,6-dideoxy-alpha-D-mannopyranoside",C12 H23 N O7,Full match,Invalid mass,No results,Not the top hit,0.12,293.14749,5.644,577869652.7,5,,,,DDA for preferred ion,491646150.8,103939021.9,4538185.351,84647912.58,455884089.6,577869652.7,12599402.94,10363606.26,4527814.953,4703081.141,13016415.43,0,128,128,128,128,0,0,128,16,16,16,128,32
D-Raffinose,C18 H32 O16,No match,Invalid mass,No results,No results,43600.61,526.15111,1.818,568459554.2,15,94.2,71.1,,DDA for preferred ion,38394156.74,21266752.11,28138695.48,255203035.7,534952063.8,568459554.2,13764989.06,19665168.13,235788914.9,10049857.86,205922072.6,16,128,128,128,128,64,0,128,128,128,16,64,32
Isoleucine,C6 H13 N O2,Full match,Full match,Partial match,Not the top hit,-0.24,131.0946,3.636,555798124.3,34,99.2,10,"Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Biosynthesis of amino acids;Biosynthesis of plant secondary metabolites;ABC transporters;2-Oxocarboxylic acid metabolism;Protein digestion and absorption;Central carbon metabolism in cancer;Aminoacyl-tRNA biosynthesis;Tropane, piperidine and pyridine alkaloid biosynthesis;Cyanoamino acid metabolism;Other",DDA for preferred ion,262487841.5,224127603.6,134631419.2,95542487.67,256959057.3,325628227.3,209857723.4,555798124.3,1061712.049,1303466.67,386820.4444,0,0,0,0,128,0,64,64,0,16,16,16,32
DL-Stachydrine,C7 H13 N O2,Full match,Full match,No results,Full match,0.05,143.09464,1.401,549446801.7,9,99.5,10,ABC transporters,DDA for preferred ion,2953497.736,65203253.84,132332103.5,4632637.237,3510198.058,4009808.443,105374261.1,549446801.7,3969688.1,103333771.8,4131250.19,128,0,0,128,16,128,128,0,0,128,0,128,16
L-Tyrosine,C9 H11 N O3,Full match,Full match,Full match,Full match,0.12,181.07392,3.769,547800984.8,82,97.7,97.2,"Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of amino acids;Biosynthesis of plant secondary metabolites;Biosynthesis of cofactors;2-Oxocarboxylic acid metabolism;Phenylpropanoid biosynthesis;Protein digestion and absorption;Central carbon metabolism in cancer;Aminoacyl-tRNA biosynthesis;Phenylalanine, tyrosine and tryptophan biosynthesis;Biosynthesis of various plant secondary metabolites;Cyanoamino acid metabolism;Other",DDA for preferred ion,4686035.809,270127508.6,189117348.4,7376551.601,348656323.8,445441513.2,214830217.5,547800984.8,2099826.276,1498551.186,778008.9444,16,0,64,16,16,0,64,64,0,16,16,16,128
methyl N-acetylneuraminate,C12 H21 N O9,Full match,Invalid mass,No results,Full match,0.09,323.12166,5.998,539870182.4,295,,,,DDA for preferred ion,539870182.4,2052936.064,1329564.612,178746879.1,34395714.15,32405052.95,1280639.014,1608761.985,68148121.98,1448806.63,13893241.94,0,16,16,128,32,16,16,16,32,128,16,128,32
"[Similar to: 1,2,3-Tris({4-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)tetrahydropyran-2-yl]oxyphenyl}methyl) 2-hydroxypropane-1,2,3-tricarboxylate; ΔMass: -782.3022 Da]",,No results,Invalid mass,No results,No results,,214.00891,2.693,532351523.7,2,,,,DDA for preferred ion,532351523.7,4074418.896,708380.7283,1656566.838,3987654.636,2953070.277,2739355.992,185020842,511785488.9,214820100.6,461344831.6,64,16,16,16,32,16,16,16,64,64,0,64,32
L-Pyroglutamic acid,C5 H7 N O3,Full match,Full match,Full match,Partial match,-0.26,129.04256,3.03,529958851.6,88,99.6,10,Metabolic pathways;Biosynthesis of secondary metabolites;D-Amino acid metabolism;Other,DDA for preferred ion,466695090.1,518740.1257,517727.4775,18561659.55,18237395.63,15829918.61,1048045.284,15196486.54,529958851.6,9584111.938,464542815.6,0,16,16,16,16,16,128,16,128,0,128,0,16
L-Saccharopine,C11 H20 N2 O6,Full match,Full match,Full match,Full match,0.08,276.13216,1.119,524871677.7,36,82.9,77.3,Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of amino acids;Other,DDA for preferred ion,4646747.079,521488308.2,363788501.2,32226366.04,6649745.741,6156437.36,199916067.8,90744102.83,17297842.19,524871677.7,35879668.63,128,0,0,128,128,128,128,0,128,128,0,128,32
D-Raffinose,C18 H32 O16,No match,Invalid mass,No results,No results,33771.59,521.19562,1.566,522784006.1,128,73.4,46.2,,DDA for preferred ion,499497551.2,3589564.566,12392295.14,157087239.1,470417950.1,522784006.1,12199233.72,50614919.01,135472741.7,3237615.093,105898340,0,16,128,128,128,0,0,16,128,128,16,128,32
N-Methyl-Nâ€²-piperazinoacetohydrazide,C7 H16 N4 O,Full match,No results,No results,Full match,0.17,172.13244,3.496,504586564.4,0,,,,DDA for preferred ion,5107038.521,84566.9988,88463.79228,332720.1237,337373.6463,90807.28879,79123.59428,99532.74814,504586564.4,141887.4136,478639900.5,128,32,32,16,32,16,32,32,16,0,128,0,32
Palmitic Acid,C16 H32 O2,No match,Invalid mass,No results,No match,66447.69,273.2668,16.239,467782387.8,2,82.3,51.4,,DDA for preferred ion,2282586.078,988458.0238,3174222.82,687778.6081,4796328.477,2441284.953,2709192.163,11548789.86,451551549,467782387.8,451788817.7,16,16,16,16,16,16,16,16,16,0,0,0,16
Valine,C5 H11 N O2,Full match,Full match,Full match,Full match,-0.41,117.07893,1.775,463680664.6,147,99,10,Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Biosynthesis of amino acids;Biosynthesis of plant secondary metabolites;ABC transporters;Biosynthesis of cofactors;2-Oxocarboxylic acid metabolism;Protein digestion and absorption;Central carbon metabolism in cancer;D-Amino acid metabolism;Aminoacyl-tRNA biosynthesis;Cyanoamino acid metabolism;Other,DDA for preferred ion,342528852,250672733.5,145530791.4,138910573,334655086.3,382825729.4,192643993.6,463680664.6,66700738.08,342355863.7,29566812.7,0,0,0,0,128,0,0,0,0,0,0,128,16
L-Glutamine,C5 H10 N2 O3,No match,Invalid mass,No match,No match,-116565,129.04259,1.101,452839046.6,14,99,96.4,Metabolic pathways;Biosynthesis of secondary metabolites;D-Amino acid metabolism;Other,DDA for preferred ion,6085236.253,220318191.4,197106142,104357383.2,5007606.4,1726942.286,84071884.21,452839046.6,76824703.46,232166240.4,79826266.36,128,0,0,64,128,128,16,128,0,128,64,128,32
L-Tyrosine,C9 H11 N O3,Full match,Full match,Full match,Full match,0.12,181.07392,3.791,445441513.2,51,98.3,98.4,"Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of amino acids;Biosynthesis of plant secondary metabolites;Biosynthesis of cofactors;2-Oxocarboxylic acid metabolism;Phenylpropanoid biosynthesis;Protein digestion and absorption;Central carbon metabolism in cancer;Aminoacyl-tRNA biosynthesis;Phenylalanine, tyrosine and tryptophan biosynthesis;Biosynthesis of various plant secondary metabolites;Cyanoamino acid metabolism;Other",DDA for preferred ion,3393826.723,270127508.6,189117348.4,169164808.8,348656323.8,445441513.2,214830217.5,16665946.88,2002865.977,1060134.72,706004.5169,16,64,0,0,128,64,0,0,16,16,16,16,16
"N,N-dimethyl-5-nitro-6-[3-(trifluoromethyl)phenoxy]pyrimidin-4-amine",C13 H11 F3 N4 O3,No match,Full match,No results,No match,-3.63,328.07713,5.876,439890689.7,9,76.1,8.8,,DDA for preferred ion,405608485,1850493.16,1285330.748,142571552.6,409613216.4,439890689.7,2344975.429,1309636.404,41521196.77,2032850.55,28314685.14,16,128,128,0,32,16,16,16,128,16,16,16,32
"3-Methoxy-4-(methoxycarbonyl)-5-methylphenyl 4-[(2,4-dimethoxy-6-methylbenzoyl)oxy]-2-methoxy-6-methylbenzoate",C29 H30 O10,Full match,Invalid mass,No results,Full match,0.31,538.18406,18.894,436526153.4,29,,,,DDA for preferred ion,567923.1039,520208.4246,581831.1185,385607934.7,549929.6081,533730.0523,528235.9512,575671.6581,409161846.6,521538.4139,436526153.4,32,32,32,0,32,32,32,32,32,0,32,0,32
"2-(14,15-Epoxyeicosatrienoyl) glycerol",C23 H38 O5,No match,Invalid mass,No results,No match,-101439.86,354.27703,20.833,436422237.1,6,92.2,9.6,,DDA for preferred ion,603007.9084,178131510.5,76946001.14,69686998.83,4151062.884,4829470.235,266056613.4,436422237.1,61780437.64,280040443.6,67593084.3,32,64,64,64,16,16,16,64,0,64,64,64,16
"[Similar to: (2R,3R,3aR,5R)-5,7-dimethoxy-2-(7-methoxy-2H-1,3-benzodioxol-5-yl)-3-methyl-3a-(prop-2-en-1-yl)-2,3,3a,4,5,6-hexahydro-1-benzofuran-6-one; ΔMass: 200.0452 Da]",C30 H30 N6 O8,Full match,Invalid mass,No results,No results,0.88,602.21304,20.081,435038080.7,2,,,,DDA for preferred ion,274324.0779,349447.4537,478560.5047,435038080.7,481751.2156,291493.7366,299511.3288,239190.3067,207535873.9,285710.8702,206479784.5,32,32,32,0,32,16,32,32,32,0,32,0,32
N-Methyl-Nâ€²-piperazinoacetohydrazide,C7 H16 N4 O,Full match,No results,No results,Full match,0.13,172.13243,3.603,434715633.7,0,,,,DDA for preferred ion,127396.3128,100662.9339,1046830.038,434715633.7,5048699.512,5860518.819,101269.5863,263142.7933,5503340.413,121747.7297,5452261.3,32,32,128,0,128,128,128,32,16,16,32,16,32
Tetrolic Acid,C4 H4 O2,Full match,No results,No results,Full match,0.17,84.02114,1.313,427389489.4,0,,,Metabolic pathways;Other,DDA for preferred ion,403014788.5,5217452.867,6415165.758,50573089.02,278883550.8,427389489.4,2101465.91,7474127.491,46646502.77,3827930.688,42900087.88,0,128,128,0,16,0,0,128,128,0,128,0,16
2-Fluoro-6-(4-methoxyphenoxy)benzonitrile,C14 H10 F N O2,No match,Invalid mass,No results,No results,9.47,243.07186,1.605,421200493.3,38,96.5,9.8,,DDA for preferred ion,406001.3968,343453382.4,348029205.9,8139315.356,2964332.851,425244.2621,281260647.7,421200493.3,4563342.464,322178386.8,6324025.564,32,0,0,128,16,128,32,0,0,128,0,128,32
"N2-[4-(4-Chlorophenoxy)phenyl]-1,3,5-triazine-2,4-diamine",C15 H12 Cl N5 O,No match,Invalid mass,No results,No match,13.96,313.07741,3.369,415022514.4,20,85.2,9.3,,DDA for preferred ion,13970916.03,354355466.2,415022514.4,319653614.4,159150308,169488719,292038410.7,404665497.9,6773504.704,16385278.22,20422294.97,16,0,0,0,128,128,0,0,0,16,16,16,32
"4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole",C11 H12 O3,Full match,Full match,No results,Full match,0.09,192.07866,20.081,414909789.1,50,74.9,71.5,Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Phenylpropanoid biosynthesis;Other,DDA for preferred ion,607564.3405,356212.2805,560964.8759,414909789.1,955029.4691,1028836.813,613179.8165,243820.7053,169041904.8,852920.9276,158288026.1,16,32,16,0,32,128,16,16,32,0,16,0,32
Penicillic acid,C8 H10 O4,No results,Invalid mass,No results,No results,-13.93,170.05554,2.597,407378359.7,30,85.3,9.3,,DDA for preferred ion,867889.2214,182788165.7,8824110.998,8553608.508,445054.1494,523405.6772,407378359.7,163265559.4,4559677.267,11336002.97,4185720.455,16,0,16,16,128,32,32,0,0,16,16,16,16
L-Tyrosine,C9 H11 N O3,Full match,Full match,Full match,Full match,0.06,181.0739,3.673,396991002.6,98,97.5,95.9,"Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of amino acids;Biosynthesis of plant secondary metabolites;Biosynthesis of cofactors;2-Oxocarboxylic acid metabolism;Phenylpropanoid biosynthesis;Protein digestion and absorption;Central carbon metabolism in cancer;Aminoacyl-tRNA biosynthesis;Phenylalanine, tyrosine and tryptophan biosynthesis;Biosynthesis of various plant secondary metabolites;Cyanoamino acid metabolism;Other",DDA for preferred ion,3154325.109,2053801.3,205252.0415,246914.2441,305600.9188,227291.9456,520652.0104,1243082.458,86158919.38,396991002.6,65254518.14,16,16,16,16,16,16,16,16,16,0,0,0,16
DL-Arginine,C6 H14 N4 O2,Full match,Full match,Full match,Full match,0.67,174.11179,0.996,396845630.8,40,99.3,97.7,Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of amino acids;Biosynthesis of plant secondary metabolites;ABC transporters;Protein digestion and absorption;Central carbon metabolism in cancer;D-Amino acid metabolism;Aminoacyl-tRNA biosynthesis;Other,DDA for preferred ion,168101646.8,169613467.8,193540523.8,97572041.35,159368374.2,156544292.2,182208157.3,396845630.8,70266591.63,212580372.4,36336319.68,0,0,0,0,128,0,0,0,0,128,0,0,16
"1-(3,4-dimethoxyphenyl)ethan-1-one oxime",C10 H13 N O3,Full match,Full match,No results,Partial match,0.06,195.08956,7.925,387398905.3,15,66.5,66.9,Other,DDA for preferred ion,1432436.011,2808769.506,387398905.3,1698915.025,3577097.042,2032089.282,1825079.52,279839266.9,1654969.391,2340674.149,1448580.17,16,16,16,16,16,16,16,16,0,16,16,16,16
7-Oxobenz[de]anthracene,C17 H10 O,No match,Invalid mass,No results,No results,15.04,230.07663,4.225,379872296,8,99.7,10,,DDA for preferred ion,65246309.08,200966758.9,379872296,95913212.13,69466465.97,76413128.38,399384.9957,73343363.74,55291540.2,10923786.59,3625838.354,128,0,0,0,128,128,128,16,128,128,16,16,32
"N2-[4-(4-Chlorophenoxy)phenyl]-1,3,5-triazine-2,4-diamine",C15 H12 Cl N5 O,No match,Invalid mass,No results,No match,13.94,313.0774,3.314,379632109.5,20,86.2,9.3,,DDA for preferred ion,175272892.6,18898224.17,20467252.03,46472419.41,13483864.16,10456035.84,10895862.76,26285388.24,300062967,379632109.5,309648736.9,128,16,16,16,16,16,16,16,16,0,0,0,32
Bis(triaminomethyl) carbonate,C3 H12 N6 O3,Full match,No results,No results,Full match,4.52,180.0979,13.211,378680792.1,0,,,,DDA for preferred ion,971769.9699,661372.8056,28871833.17,834922.1204,1386753.314,934931.9313,670482.9559,378680792.1,619185.6964,832278.2568,533857.5196,16,32,16,16,16,16,16,32,0,16,16,32,32
"2-(14,15-Epoxyeicosatrienoyl) glycerol",C23 H38 O5,No match,Invalid mass,No results,No match,-45686.56,376.259,20.839,377963997.9,6,92.4,9.6,,DDA for preferred ion,252203.1071,155677742.4,65302469.39,59032764.33,851475.7781,1116409.889,242757258.5,377963997.9,51908668.43,254853889.8,56131857.54,32,0,0,0,16,16,16,0,64,0,0,0,16
[Similar to: D-(+)-Glucose; ΔMass: 73.0528 Da],C9 H19 N O7,Full match,Invalid mass,No results,No results,0.18,253.1162,2.636,373238496.3,263,,,,DDA for preferred ion,304254795.5,109855086.2,205187050.7,373238496.3,284039762.4,331571967.5,741801.3449,18925366.28,312434966.1,95357139.22,279326087.7,0,0,0,0,128,0,0,128,128,0,0,0,32
L-Tyrosine,C9 H11 N O3,Full match,Full match,Full match,Full match,0.04,181.0739,3.722,373109698.7,55,98.9,98.4,"Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of amino acids;Biosynthesis of plant secondary metabolites;Biosynthesis of cofactors;2-Oxocarboxylic acid metabolism;Phenylpropanoid biosynthesis;Protein digestion and absorption;Central carbon metabolism in cancer;Aminoacyl-tRNA biosynthesis;Phenylalanine, tyrosine and tryptophan biosynthesis;Biosynthesis of various plant secondary metabolites;Cyanoamino acid metabolism;Other",DDA for preferred ion,373109698.7,7182370.657,2556935.041,7122795.359,4528615.244,28851858.38,581397.373,16950425.3,3638644.715,1439543.242,751957.5898,0,16,16,16,16,16,16,16,16,16,16,16,128
muramic acid,C9 H17 N O7,Full match,Not the top hit,No results,Full match,0.06,251.10052,1.169,362707712.6,7,,,Metabolic pathways;ABC transporters;Other,DDA for preferred ion,301796944.1,36492128.48,11083014.8,52269906.02,310005161.4,362707712.6,14306472.85,20536858.8,19749673.59,44039382.33,8473232.374,0,128,16,128,128,0,0,128,128,16,128,128,32
D-Raffinose,C18 H32 O16,No match,Invalid mass,No results,No results,43600.52,526.15107,1.583,361086212.2,15,94.9,73.5,,DDA for preferred ion,329143674.7,4008268.78,10694277.53,148206868.6,347167132.4,361086212.2,3414294.125,32692193.31,151975616.9,32807397.3,119723235.8,0,16,16,0,16,0,0,16,128,128,128,128,32
L-Glutamine,C5 H10 N2 O3,Full match,Full match,Full match,Full match,0.14,146.06916,1.095,360410610.1,13,99,96.1,Metabolic pathways;Microbial metabolism in diverse environments;Biosynthesis of amino acids;Biosynthesis of plant secondary metabolites;ABC transporters;Biosynthesis of cofactors;Protein digestion and absorption;Central carbon metabolism in cancer;D-Amino acid metabolism;Aminoacyl-tRNA biosynthesis;Other,DDA for preferred ion,3499119.01,177289134.2,165055291.7,103546313.5,4469540.394,1158613.246,82249105.75,360410610.1,62626715.92,182212543.5,75603346.93,128,64,64,0,128,128,16,128,0,128,0,128,16
"[Similar to: (2S,4R,5S,6S,7R)-5,6,12,14-tetrahydroxy-4-(hydroxymethyl)-13-methoxy-3,8-dioxatricyclo[8.4.0.0Â?,â·]tetradeca-1(14),10,12-trien-9-one; ΔMass: 306.0930 Da]",C22 H30 N6 O16,Full match,Invalid mass,No results,No results,0.92,634.17241,6.015,354178474.7,45,,,,DDA for preferred ion,20958170.77,760716.9229,722712.9421,20591778.57,269198466.9,354178474.7,619628.2042,1166731.904,5347940.47,1422586.525,763943.1402,16,32,32,128,32,0,0,32,32,128,16,32,32
Isoleucine,C6 H13 N O2,Full match,Full match,Full match,Not the top hit,-0.29,131.09459,3.549,348535203.8,64,99.3,10,"Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Biosynthesis of amino acids;Biosynthesis of plant secondary metabolites;ABC transporters;2-Oxocarboxylic acid metabolism;Protein digestion and absorption;Central carbon metabolism in cancer;Aminoacyl-tRNA biosynthesis;Tropane, piperidine and pyridine alkaloid biosynthesis;Cyanoamino acid metabolism;Other",DDA for preferred ion,9803000.939,752049.8923,116338.5442,662905.1376,2008247.307,1959503.594,769127.8648,3638124.385,54093117.19,348535203.8,19826332.07,16,16,16,16,16,16,16,16,16,128,0,128,16
8-hydroxy-deoxyguanosine,C10 H13 N5 O5,Full match,Invalid mass,Partial match,Full match,0.13,283.0917,6.308,344067311.5,33,,,Metabolic pathways;ABC transporters;Other,DDA for preferred ion,202943454.2,193905197.8,211429320.4,151778788.3,209094352.1,243495209.6,152040960.1,344067311.5,113768181.9,226050700.8,90981929.18,0,0,0,64,128,0,0,0,0,0,0,0,16
NP-019445,C10 H10 O4,Full match,Full match,Partial match,Partial match,0.06,194.05792,12.618,342683453.2,15,96.7,92,Metabolic pathways;Biosynthesis of secondary metabolites;Phenylpropanoid biosynthesis;Biosynthesis of phenylpropanoids,DDA for preferred ion,471493.5472,10784027.44,28887922.65,533166.5114,123064.2446,516403.9741,342683453.2,128802825.4,283200.8828,33268595.87,170654.7895,16,128,128,16,16,32,16,0,0,16,128,128,32
"[Similar to: 4-[(1S,3aR,4S,6aR)-4-(4-hydroxy-3-methoxyphenyl)-hexahydrofuro[3,4-c]furan-1-yl]-2-methoxyphenol; ΔMass: 22.1487 Da]",C19 H36 N6 O2,Full match,Invalid mass,No results,No results,0.86,380.2903,20.269,333368421.4,3,,,,DDA for preferred ion,13977123.83,300408320.1,326326794.8,333368421.4,276806260,314160497.4,319364070.8,33580357.64,314918589.1,13015914.89,19041348.33,16,64,64,0,0,64,64,64,16,128,16,16,16
Isoleucine,C6 H13 N O2,Full match,Full match,Partial match,Not the top hit,-0.17,131.09461,3.655,325628227.3,64,99.2,10,"Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Biosynthesis of amino acids;Biosynthesis of plant secondary metabolites;ABC transporters;2-Oxocarboxylic acid metabolism;Protein digestion and absorption;Central carbon metabolism in cancer;Aminoacyl-tRNA biosynthesis;Tropane, piperidine and pyridine alkaloid biosynthesis;Cyanoamino acid metabolism;Other",DDA for preferred ion,10115423.67,224127603.6,134631419.2,95542487.67,256959057.3,325628227.3,209857723.4,142417.4048,1068998.374,1694060.504,389475.1187,16,64,64,64,128,64,0,0,32,16,16,16,32
