FeatureID,Name,Formula,MW,KEGG Pathways,name4plot,C,H,N,O,Cl,S,P,H_to_C,O_to_C,NOSC,GFE,DBE,DBE_O,AI,AI_mod,DBE_AI,Class,gap_status,control_means,treatment_means,log2FC,pval,pval.adj,Comment,isolate
Feature0105,"6-Methoxy-1,2,4-benzenetriol",C7 H8 O4,156.04229,"Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Degradation of aromatic compounds;Phenylalanine, tyrosine and tryptophan biosynthesis;Other","6-Methoxy-1,2,4-benzenetriol",7,8,0,4,0,0,0,1.1428571428571428,0.5714285714285714,0,60.3,4,0,0,0.4,0,Phenol,Missing ions,4.867573380326867,9.092511416449717,4.22493803612285,0.38563042722764407,0.939741959353124,Upregulated,LEDU
Feature0077,3-oxovaleric acid,C5 H8 O3,116.04729,Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Biosynthesis of amino acids;2-Oxocarboxylic acid metabolism;Biosynthesis of cofactors;Other,3-oxovaleric acid,5,8,0,3,0,0,0,1.6,0.6,-0.4000000000000003,71.7,2,-1,-0.5,0.14285714285714285,-1,Amino Sugar,No gap,1.5806306460482868,0,-1.5806306460482868,0.33428194339465733,0.939741959353124,Downregulated,LEDU
Feature0069,3-Carboxytyrosine,C10 H11 N O5,225.0637,Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of cofactors;Other,3-Carboxytyrosine,10,11,1,5,0,0,0,1.1,0.5,0.20000000000000015,54.599999999999994,6,1,0,0.38461538461538464,0,Phenol,No gap,2.3451390673758867,5.54644451889745,3.201305451521563,0.4334322272554614,0.939741959353124,Upregulated,LEDU
Feature0025,NA,C4 H2 O8 S2,241.91814,NA,Feature0025,4,2,0,8,0,2,0,0.5,2,4.5,-67.95,4,-4,1,1,-6,Other,No gap,26.770587226404274,26.5602246354593,-0.21036259094497467,0.07861378936145987,0.939741959353124,Downregulated,LEDU
Feature0013,NA,C3 H2 N4 O18 S2,445.88051,NA,Feature0013,3,2,4,18,0,2,0,0.6666666666666666,6,16.666666666666664,-414.69999999999993,5,-13,0.9047619047619048,0.8333333333333334,-19,Other,No gap,10.040554766159227,4.37619814143795,-5.664356624721277,0.322933652288376,0.939741959353124,Downregulated,LEDU
Feature0006,NA,C9 H9 N2 O6 P3 S4,461.85452,NA,Feature0006,9,9,2,6,0,4,3,1,0.6666666666666666,0.22222222222222232,53.96666666666666,8,2,1.1666666666666667,1.3333333333333333,-7,Other,No gap,3.10891906098036,8.3346660324824,5.225746971502039,0.3905929116678094,0.939741959353124,Upregulated,LEDU
Feature0360,Valine,C5 H11 N O2,117.07893,Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Biosynthesis of amino acids;Biosynthesis of plant secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of cofactors;ABC transporters;Protein digestion and absorption;Aminoacyl-tRNA biosynthesis;Central carbon metabolism in cancer;D-Amino acid metabolism;Cyanoamino acid metabolism;Other,Valine,5,11,1,2,0,0,0,2.2,0.4,-0.7999999999999998,83.1,1,-1,-1,-0.3333333333333333,-2,Protein,No gap,27.85615625129244,27.76349887543975,-0.09265737585268852,0.41798032470595703,0.939741959353124,Downregulated,LEDU
Feature0330,"pentane-1,2,3,4,5-pentol",C5 H12 O5,152.06848,Metabolic pathways;ABC transporters;Other,"pentane-1,2,3,4,5-pentol",5,12,0,5,0,0,0,2.4,1,-0.4000000000000003,71.7,0,-5,-Inf,-1,-5,Carbohydrate,No gap,2.9533069279352135,8.891410919079133,5.93810399114392,0.356623546321714,0.939741959353124,Upregulated,LEDU
Feature0278,Methionine,C5 H11 N O2 S,149.05106,Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of amino acids;Biosynthesis of plant secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of cofactors;ABC transporters;Protein digestion and absorption;Aminoacyl-tRNA biosynthesis;Central carbon metabolism in cancer;Biosynthesis of various plant secondary metabolites;D-Amino acid metabolism;Other,Methionine,5,11,1,2,0,1,0,2.2,0.4,-0.4000000000000003,71.7,1,-1,-3,-1,-3,Protein,No gap,8.040827052141294,12.676660937547418,4.635833885406123,0.4921774347577341,0.939741959353124,Upregulated,LEDU
Feature0277,methallylamine,C4 H9 N,71.07352,NA,methallylamine,4,9,1,0,0,0,0,2.25,0,-1.5,103.05,1,1,0,0,0,Lipid,No gap,15.35685870939146,21.292675450273784,5.9358167408823235,0.29580387749354553,0.939741959353124,Upregulated,LEDU
Feature0255,L-Threonine,C4 H9 N O3,119.05821,Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Biosynthesis of amino acids;Biosynthesis of plant secondary metabolites;ABC transporters;Protein digestion and absorption;Aminoacyl-tRNA biosynthesis;D-Amino acid metabolism;Other,L-Threonine,4,9,1,3,0,0,0,2.25,0.75,0,60.3,1,-2,-Inf,-1,-3,Carbohydrate,No gap,8.636659267220873,4.298224418100967,-4.338434849119906,0.43837663256483383,0.939741959353124,Downregulated,LEDU
Feature0251,L-Phenylalanine,C9 H11 N O2,165.07901,"Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of amino acids;Biosynthesis of plant secondary metabolites;2-Oxocarboxylic acid metabolism;ABC transporters;Phenylpropanoid biosynthesis;Biosynthesis of phenylpropanoids;Protein digestion and absorption;Phenylalanine, tyrosine and tryptophan biosynthesis;Aminoacyl-tRNA biosynthesis;Central carbon metabolism in cancer;Tropane, piperidine and pyridine alkaloid biosynthesis;Biosynthesis of various plant secondary metabolites;D-Amino acid metabolism;Cyanoamino acid metabolism;Other",L-Phenylalanine,9,11,1,2,0,0,0,1.2222222222222223,0.2222222222222222,-0.44444444444444464,72.96666666666667,5,3,0.3333333333333333,0.42857142857142855,2,Phenol,No gap,29.394605703441886,29.567130579703317,0.17252487626143065,0.38513059740171796,0.939741959353124,Upregulated,LEDU
Feature0242,L-alpha-Glycerylphosphorylcholine,C8 H20 N O6 P,257.10283,NA,L-alpha-Glycerylphosphorylcholine,8,20,1,6,0,0,1,2.5,0.75,-1.25,95.925,0,-6,-Inf,-1.6666666666666667,-8,Carbohydrate,No gap,29.388005646622275,29.47179648394515,0.08379083732287285,0.384125932529748,0.939741959353124,Upregulated,LEDU
Feature0219,DL-Stachydrine,C7 H13 N O2,143.09464,ABC transporters,DL-Stachydrine,7,13,1,2,0,0,0,1.8571428571428572,0.2857142857142857,-0.8571428571428568,84.72857142857141,2,0,-0.25,0,-1,Lipid,No gap,4.376487175691587,8.716951069989516,4.34046389429793,0.4925019479925197,0.939741959353124,Upregulated,LEDU
Feature0216,DL-Arginine,C6 H14 N4 O2,174.1118,Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of amino acids;Biosynthesis of plant secondary metabolites;ABC transporters;Protein digestion and absorption;Aminoacyl-tRNA biosynthesis;Central carbon metabolism in cancer;D-Amino acid metabolism;Other,DL-Arginine,6,14,4,2,0,0,0,2.3333333333333335,0.3333333333333333,0.3333333333333335,50.8,2,0,-Inf,-3,-4,Other,No gap,23.024848911928192,26.867941026911765,3.8430921149835733,0.13466134806971955,0.939741959353124,Upregulated,LEDU
Feature0195,Caffeic acid,C9 H8 O4,180.04228,"Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Biosynthesis of amino acids;Biosynthesis of plant secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of cofactors;Phenylpropanoid biosynthesis;Biosynthesis of phenylpropanoids;Degradation of aromatic compounds;Phenylalanine, tyrosine and tryptophan biosynthesis;Other",Caffeic acid,9,8,0,4,0,0,0,0.8888888888888888,0.4444444444444444,0,60.3,6,2,0.4,0.5714285714285714,2,Phenol,No gap,2.65654672462394,0,-2.65654672462394,0.16462917465681362,0.939741959353124,Downregulated,LEDU
Feature0193,Butyl glyoxylate,C6 H10 O3,130.06295,Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Biosynthesis of amino acids;2-Oxocarboxylic acid metabolism;Degradation of aromatic compounds;Other,Butyl glyoxylate,6,10,0,3,0,0,0,1.6666666666666667,0.5,-0.666666666666667,79.30000000000001,2,-1,-0.3333333333333333,0.1111111111111111,-1,Protein,No gap,1.3113321610880533,0,-1.3113321610880533,0.33428194339465733,0.939741959353124,Downregulated,LEDU
Feature0149,[Similar to: Dimethyl phosphate; ΔMass: 60.0212 Da],C4 H11 O6 P,186.02936,NA,[Similar to: Dimethyl phosphate; ΔMass: 60.0212 Da],4,11,0,6,0,0,1,2.75,1.5,-1,88.8,0,-6,2.3333333333333335,-Inf,-7,Other,No gap,0,3.32122302109195,3.32122302109195,0.36321746764912255,0.939741959353124,Upregulated,LEDU
Feature0147,[Similar to: diethyl 2-({2-[2-(methoxycarbonyl)-3-thienyl]hydrazino}methylene)malonate; ΔMass: -124.1122 Da],C3 H7 Cl N2 O5 S,217.97633,NA,[Similar to: diethyl 2-({2-[2-(methoxycarbonyl)-3-thienyl]hydrazino}methylene)malonate; ΔMass: -124.1122 Da],4,7,2,5,1,1,0,1.75,1.25,2.75,-18.075000000000003,2.5,-2.5,1.375,2,-5.5,Carbohydrate,Missing ions,27.304807756926113,26.76827176864385,-0.5365359882822638,0.06484593896147167,0.939741959353124,Downregulated,LEDU
Feature0114,"[Similar to: (2S,4R,5S,6S,7R)-5,6,12,14-tetrahydroxy-4-(hydroxymethyl)-13-methoxy-3,8-dioxatricyclo[8.4.0.0Â?,â·]tetradeca-1(14),10,12-trien-9-one; ΔMass: -36.0235 Da]",C11 H19 O3 P3,292.05592,NA,"[Similar to: (2S,4R,5S,6S,7R)-5,6,12,14-tetrahydroxy-4-(hydroxymethyl)-13-methoxy-3,8-dioxatricyclo[8.4.0.0Â?,â·]tetradeca-1(14),10,12-trien-9-one; ΔMass: -36.0235 Da]-peak2",11,19,0,3,0,0,3,1.7272727272727273,0.2727272727272727,-2.545454545454546,132.84545454545457,4,1,-0.4,-0.07692307692307693,-2,Lipid,No gap,1.2947463599859668,0,-1.2947463599859668,0.33428194339465733,0.939741959353124,Downregulated,LEDU
Feature0098,5-Methylhexan-3-one,C8 H15 N O4,189.10013,NA,5-Methylhexan-3-one,8,15,1,4,0,0,0,1.875,0.5,-0.5,74.55,2,-2,-1,-0.2,-3,Protein,No gap,3.0791889920101334,0,-3.0791889920101334,0.1643315487065548,0.939741959353124,Downregulated,LEDU
Feature0094,"5-acetamido-3,5-dideoxy-L-arabino-hept-2-ulopyranosonic acid",C9 H15 N O7,249.08483,NA,"5-acetamido-3,5-dideoxy-L-arabino-hept-2-ulopyranosonic acid",9,15,1,7,0,0,0,1.6666666666666667,0.7777777777777778,0.22222222222222232,53.96666666666666,3,-4,-5,-0.3333333333333333,-5,Carbohydrate,Missing ions,1.7345261538421866,0,-1.7345261538421866,0.33428194339465733,0.939741959353124,Downregulated,LEDU
Feature0053,"2,4-Pentadienoic acid",C5 H6 O2,98.03676,Microbial metabolism in diverse environments;Other,"2,4-Pentadienoic acid",5,6,0,2,0,0,0,1.2,0.4,-0.4000000000000003,71.7,3,1,0.3333333333333333,0.5,1,Phenol,No gap,0,8.0391391003324,8.0391391003324,0.17469438426607872,0.939741959353124,Upregulated,LEDU
Feature0312,Ne-Acetyllysine,C8 H16 N2 O3,188.11612,Metabolic pathways;Other,Ne-Acetyllysine,8,16,2,3,0,0,0,2,0.375,-0.5,74.55,2,-1,-1,-0.3333333333333333,-3,Protein,No gap,8.030455572726007,4.095788911361283,-3.934666661364724,0.45674023850625267,0.939741959353124,Downregulated,LEDU
Feature0257,Lactamide,C3 H7 N O2,89.04769,Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Biosynthesis of amino acids;Biosynthesis of plant secondary metabolites;Biosynthesis of cofactors;ABC transporters;Protein digestion and absorption;Aminoacyl-tRNA biosynthesis;Central carbon metabolism in cancer;D-Amino acid metabolism;Cyanoamino acid metabolism;Other,Lactamide,3,7,1,2,0,0,0,2.3333333333333335,0.6666666666666666,0,60.3,1,-1,-Inf,-1,-2,Other,No gap,17.812889388485246,22.204324265128932,4.391434876643686,0.44724775554997154,0.939741959353124,Upregulated,LEDU
Feature0163,[Similar to: NP-016755; ΔMass: -960.7865 Da],C6 H4 N10,216.06097,NA,[Similar to: NP-016755; ΔMass: -960.7865 Da]-peak1,6,4,10,0,0,0,0,0.6666666666666666,0,4.333333333333333,-63.19999999999999,10,10,-0,-0,0,Condensed HC,No gap,18.378473572833993,12.687152282272184,-5.69132129056181,0.40025757746494495,0.939741959353124,Downregulated,LEDU
Feature0125,"[Similar to: 2-(4-chlorophenyl)-2-oxoethyl 2,6-bis(trifluoromethyl)benzoate; ΔMass: 87.8796 Da]",C16 H5 O13 P3,497.89405,NA,"[Similar to: 2-(4-chlorophenyl)-2-oxoethyl 2,6-bis(trifluoromethyl)benzoate; ΔMass: 87.8796 Da]",16,5,0,13,0,0,3,0.3125,0.8125,0.375,49.6125,16,3,NA,1,0,Condensed HC,No gap,18.090021532154253,12.2540440001624,-5.835977531991853,0.37488234188931113,0.939741959353124,Downregulated,LEDU
Feature0363,Υ-Aminobutyric acid (GABA),C4 H9 N O2,103.06331,Metabolic pathways;Microbial metabolism in diverse environments;Other,Υ-Aminobutyric acid (GABA),4,9,1,2,0,0,0,2.25,0.5,-0.5,74.55,1,-1,-2,-0.5,-2,Protein,No gap,12.750827882587899,4.560006332202266,-8.190821550385632,0.1864671127684897,0.939741959353124,Downregulated,LEDU
Feature0290,MFCD00025555,C9 H18 N2 O3,202.1317,NA,MFCD00025555,9,18,2,3,0,0,0,2,0.3333333333333333,-0.666666666666667,79.30000000000001,2,-1,-0.75,-0.2727272727272727,-3,Protein,No gap,13.875266690165846,4.299076326446917,-9.57619036371893,0.10895465906131581,0.939741959353124,Downregulated,LEDU
Feature0137,"[Similar to: 5-O-[(4-Acetylphenyl)carbamoyl]-1,4:3,6-dianhydro-2-deoxy-2-(5-phenyl-1H-tetrazol-1-yl)-D-glucitol; ΔMass: -161.0514 Da]",C8 H14 N6 O5,274.10288,NA,"[Similar to: 5-O-[(4-Acetylphenyl)carbamoyl]-1,4:3,6-dianhydro-2-deoxy-2-(5-phenyl-1H-tetrazol-1-yl)-D-glucitol; ΔMass: -161.0514 Da]-peak2",8,14,6,5,0,0,0,1.75,0.625,1.75,10.424999999999995,5,0,2,7,-6,Amino Sugar,No gap,8.08338437323972,4.005680808375083,-4.077703564864637,0.43520517612486165,0.939741959353124,Downregulated,LEDU
Feature0128,[Similar to: 3-[1-(dimethylamino)-1H-pyrrol-2-yl]-2-(2-furylcarbonyl)acrylonitrile; ΔMass: 200.0995 Da],C19 H29 N5 O8,455.20029,NA,[Similar to: 3-[1-(dimethylamino)-1H-pyrrol-2-yl]-2-(2-furylcarbonyl)acrylonitrile; ΔMass: 200.0995 Da],19,29,5,8,0,0,0,1.5263157894736843,0.42105263157894735,0.10526315789473673,57.3,8,0,-0.8333333333333334,-0.1,-5,Protein,No gap,9.557153932993153,4.7576272208253165,-4.799526712167836,0.4385650124478464,0.939741959353124,Downregulated,LEDU
Feature0106,"7-(tert-butyl)-4-imino-1,2,3,4,5,6-hexahydropyrido[3,4-d]pyridazine-1,5-dione",C11 H14 N4 O2,234.11166,NA,"7-(tert-butyl)-4-imino-1,2,3,4,5,6-hexahydropyrido[3,4-d]pyridazine-1,5-dione",11,14,4,2,0,0,0,1.2727272727272727,0.18181818181818185,0.18181818181818168,55.11818181818182,7,5,0.2,0.3333333333333333,1,Phenol,No gap,11.560997441903414,7.46527914920025,-4.095718292703164,0.49477776678910523,0.939741959353124,Downregulated,LEDU
Feature0064,"3,4-Methylenedioxy-N-propylamphetamine",C13 H19 N O2,221.14159,NA,"3,4-Methylenedioxy-N-propylamphetamine-peak1",13,19,1,2,0,0,0,1.4615384615384617,0.15384615384615383,-0.9230769230769234,86.6076923076923,5,3,0.2,0.2727272727272727,2,Phenol,No gap,20.001886597857467,13.666494017698383,-6.335392580159084,0.3863128726818361,0.939741959353124,Downregulated,LEDU
Feature0003,NA,C3 H5 N2 P S,131.99089,NA,Feature0003,3,5,2,0,0,1,1,1.6666666666666667,0,-0.666666666666667,79.30000000000001,3,3,1,1,-1,Lipid,No gap,7.842316662258707,3.8893190283015335,-3.9529976339571733,0.4357891857790882,0.939741959353124,Downregulated,LEDU
Feature0308,N-Methyl-Nâ€²-piperazinoacetohydrazide,C7 H16 N4 O,172.13243,NA,N-Methyl-Nâ€²-piperazinoacetohydrazide-peak1,7,16,4,1,0,0,0,2.2857142857142856,0.14285714285714285,-0.2857142857142856,68.44285714285714,2,1,-1.5,-1,-3,Lipid,No gap,7.425655778159833,3.6539030408016835,-3.77175273735815,0.4300478188547685,0.939741959353124,Downregulated,LEDU
Feature0258,Lauramide,C12 H25 N O,199.19362,NA,Lauramide,12,25,1,1,0,0,0,2.0833333333333335,0.08333333333333333,-1.666666666666667,107.8,1,0,-0.1,-0.04761904761904761,-1,Lipid,No gap,1.6507516803612134,0,-1.6507516803612134,0.33428194339465744,0.939741959353124,Downregulated,LEDU
Feature0183,Asparagine,C4 H8 N2 O3,132.05347,Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of amino acids;Biosynthesis of plant secondary metabolites;Protein digestion and absorption;Aminoacyl-tRNA biosynthesis;Central carbon metabolism in cancer;Cyanoamino acid metabolism;Other,Asparagine,4,8,2,3,0,0,0,2,0.75,1,31.799999999999997,2,-1,3,-3,-3,Carbohydrate,No gap,4.779492794730947,0,-4.779492794730947,0.08264349631241612,0.939741959353124,Downregulated,LEDU
Feature0105,"6-Methoxy-1,2,4-benzenetriol",C7 H8 O4,156.04229,"Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Degradation of aromatic compounds;Phenylalanine, tyrosine and tryptophan biosynthesis;Other","6-Methoxy-1,2,4-benzenetriol",7,8,0,4,0,0,0,1.1428571428571428,0.5714285714285714,0,60.3,4,0,0,0.4,0,Phenol,No gap,4.867573380326867,9.092511416449717,4.22493803612285,0.38563042722764407,0.939741959353124,Upregulated,LEDU
Feature0330,"pentane-1,2,3,4,5-pentol",C5 H12 O5,152.06848,Metabolic pathways;ABC transporters;Other,"pentane-1,2,3,4,5-pentol",5,12,0,5,0,0,0,2.4,1,-0.4000000000000003,71.7,0,-5,-Inf,-1,-5,Carbohydrate,Missing ions,2.9533069279352135,8.891410919079133,5.93810399114392,0.356623546321714,0.939741959353124,Upregulated,LEDU
Feature0298,"N,N-dimethyl-N'-(3-phenyl[1,2,4]triazolo[4,3-b]pyridazin-6-yl)iminoformamide",C14 H14 N6,266.12669,Metabolic pathways;Biosynthesis of cofactors;Other,"N,N-dimethyl-N'-(3-phenyl[1,2,4]triazolo[4,3-b]pyridazin-6-yl)iminoformamide",14,14,6,0,0,0,0,1,0,0.2857142857142856,52.15714285714286,11,11,0.625,0.625,5,Unsaturated HC,No gap,2.455063786432093,0,-2.455063786432093,0.16465407568916324,0.939741959353124,Downregulated,LEDU
Feature0102,"6-chloro-2-(3-ethyl-5,5,8,8-tetramethyl-5,6,7,8-tetrahydronaphthalen-2-yl)-4-phenylquinoline",C31 H32 Cl N,453.2239,NA,"6-chloro-2-(3-ethyl-5,5,8,8-tetramethyl-5,6,7,8-tetrahydronaphthalen-2-yl)-4-phenylquinoline",32,32,1,0,1,0,0,1,0,-0.90625,86.128125,17.5,17.5,0.532258064516129,0.532258064516129,16.5,Unsaturated HC,No gap,1.4530165121273066,0,-1.4530165121273066,0.33428194339465733,0.939741959353124,Downregulated,LEDU
Feature0094,"5-acetamido-3,5-dideoxy-L-arabino-hept-2-ulopyranosonic acid",C9 H15 N O7,249.08483,NA,"5-acetamido-3,5-dideoxy-L-arabino-hept-2-ulopyranosonic acid",9,15,1,7,0,0,0,1.6666666666666667,0.7777777777777778,0.22222222222222232,53.96666666666666,3,-4,-5,-0.3333333333333333,-5,Carbohydrate,No gap,1.7345261538421866,0,-1.7345261538421866,0.33428194339465733,0.939741959353124,Downregulated,LEDU
Feature0075,"3-Morpholino-4-tetrahydro-1H-pyrrol-1-ylcyclobut-3-ene-1,2-dione",C12 H16 N2 O3,236.11602,NA,"3-Morpholino-4-tetrahydro-1H-pyrrol-1-ylcyclobut-3-ene-1,2-dione",12,16,2,3,0,0,0,1.3333333333333333,0.25,-0.33333333333333304,69.79999999999998,6,3,0.14285714285714285,0.29411764705882354,1,Phenol,No gap,0,2.8158987438684338,2.8158987438684338,0.36321746764912255,0.939741959353124,Upregulated,LEDU
Feature0055,"2-[9-(Hydroxyimino)-3,6-diazatricyclo[4.3.1.1~3,8~]undec-1-yl]ethyl acetate",C13 H21 N3 O3,267.15832,NA,"2-[9-(Hydroxyimino)-3,6-diazatricyclo[4.3.1.1~3,8~]undec-1-yl]ethyl acetate",13,21,3,3,0,0,0,1.6153846153846154,0.2307692307692308,-0.4615384615384617,73.45384615384616,5,2,-0.14285714285714285,0.0588235294117647,-1,Lipid,Missing ions,0,3.9391783310427666,3.9391783310427666,0.36321746764912255,0.939741959353124,Upregulated,LEDU
Feature0231,"Hexahydro[1,2,4]triazino[5,6-e][1,2,4]triazine-3,6(2H,4H)-dione",C4 H8 N6 O2,172.07118,NA,"Hexahydro[1,2,4]triazino[5,6-e][1,2,4]triazine-3,6(2H,4H)-dione",4,8,6,2,0,0,0,2,0.5,3.5,-39.45,4,2,1,1,-4,Protein,No gap,0,3.0813956451835334,3.0813956451835334,0.36321746764912255,0.939741959353124,Upregulated,LEDU
Feature0091,4-Methoxycinnamaldehyde,C10 H10 O2,162.0681,Metabolic pathways;Microbial metabolism in diverse environments;Degradation of aromatic compounds;Other,4-Methoxycinnamaldehyde,10,10,0,2,0,0,0,1,0.2,-0.5999999999999996,77.39999999999999,6,4,0.5,0.5555555555555556,4,Phenol,No gap,1.3771163245473133,0,-1.3771163245473133,0.33428194339465733,0.939741959353124,Downregulated,LEDU
Feature0024,NA,C11 H20 N4 O3,256.15356,NA,Feature0024,11,20,4,3,0,0,0,1.818181818181818,0.2727272727272727,-0.18181818181818168,65.48181818181817,4,1,-0.75,-0.2727272727272727,-3,Lipid,No gap,3.07243020124338,0,-3.07243020124338,0.08252581641373294,0.939741959353124,Downregulated,LEDU
Feature0315,Nonylbenzene,C15 H24,204.18777,Metabolic pathways;Biosynthesis of secondary metabolites;Other,Nonylbenzene,15,24,0,0,0,0,0,1.6,0,-1.5999999999999996,105.89999999999998,4,4,0.26666666666666666,0.26666666666666666,4,Lipid,No gap,1.4932452139268133,0,-1.4932452139268133,0.33428194339465733,0.939741959353124,Downregulated,LEDU
Feature0344,pyroglutamine,C5 H8 N2 O2,128.05857,Metabolic pathways;Cyanoamino acid metabolism;Other,pyroglutamine,5,8,2,2,0,0,0,1.6,0.4,0.3999999999999999,48.9,3,1,-1,0,-1,Protein,No gap,3.2069252363306533,0,-3.2069252363306533,0.16431987498165343,0.939741959353124,Downregulated,LEDU
Feature0339,"Propane, 1,3-diacetoxy-2-acetoxymethyl-2-nitro-",C10 H15 N O8,277.07983,NA,"Propane, 1,3-diacetoxy-2-acetoxymethyl-2-nitro-",10,15,1,8,0,0,0,1.5,0.8,0.3999999999999999,48.9,4,-4,-5,-0.2,-5,Carbohydrate,No gap,1.68266378389954,0,-1.68266378389954,0.33428194339465744,0.939741959353124,Downregulated,LEDU
Feature0279,Methionine sulfoxide,C5 H11 N O3 S,165.04599,Metabolic pathways;Other,Methionine sulfoxide,5,11,1,3,0,1,0,2.2,0.6,0,60.3,1,-2,-Inf,-1.6666666666666667,-4,Amino Sugar,No gap,5.107856190366913,0,-5.107856190366913,0.08242079790237739,0.939741959353124,Downregulated,LEDU
Feature0237,Inosine-5'-monophosphate (IMP),C10 H13 N4 O8 P,348.04715,Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of plant secondary metabolites;Biosynthesis of cofactors;Other,Inosine-5'-monophosphate (IMP),10,13,4,8,0,0,1,1.3,0.8,1,31.799999999999997,7,-1,2,-2,-6,Other,No gap,3.34337859791854,0,-3.34337859791854,0.16439475620484822,0.939741959353124,Downregulated,LEDU
Feature0037,"1,4-Anhydro-1-(2,4-dioxo-1,2,3,4-tetrahydro-5-pyrimidinyl)-5-O-phosphonopentitol",C9 H13 N2 O9 P,324.03593,Metabolic pathways;Biosynthesis of cofactors;Other,"1,4-Anhydro-1-(2,4-dioxo-1,2,3,4-tetrahydro-5-pyrimidinyl)-5-O-phosphonopentitol",9,13,2,9,0,0,1,1.4444444444444444,1,0.6666666666666665,41.3,5,-4,2.3333333333333335,-1.6666666666666667,-7,Other,No gap,3.3701712633666,0,-3.3701712633666,0.16435824671911314,0.939741959353124,Downregulated,LEDU
Feature0284,Methyl glycyl-N~5~-(diaminomethylene)-L-ornithinate,C9 H19 N5 O3,245.14919,Metabolic pathways;Other,Methyl glycyl-N~5~-(diaminomethylene)-L-ornithinate,9,19,5,3,0,0,0,2.111111111111111,0.3333333333333333,0.22222222222222232,53.96666666666666,3,0,-5,-1.4,-5,Protein,No gap,1.4480644513271066,0,-1.4480644513271066,0.33428194339465755,0.939741959353124,Downregulated,LEDU
Feature0262,Leu-ala,C9 H18 N2 O3,202.1317,NA,Leu-ala-peak3,9,18,2,3,0,0,0,2,0.3333333333333333,-0.666666666666667,79.30000000000001,2,-1,-0.75,-0.2727272727272727,-3,Protein,No gap,4.81050690566884,0,-4.81050690566884,0.08243242364064404,0.939741959353124,Downregulated,LEDU
Feature0184,Azobenzene,C12 H10 N2,182.08444,Biosynthesis of secondary metabolites;Other,Azobenzene,12,10,2,0,0,0,0,0.8333333333333334,0,-0.33333333333333304,69.79999999999998,9,9,0.7,0.7,7,Unsaturated HC,No gap,1.1474758977066335,0,-1.1474758977066335,0.33428194339465733,0.939741959353124,Downregulated,LEDU
Feature0154,[Similar to: N(6)-OH-Me-Adenosine; ΔMass: 132.0422 Da],C16 H23 N5 O9,429.14955,NA,[Similar to: N(6)-OH-Me-Adenosine; ΔMass: 132.0422 Da],16,23,5,9,0,0,0,1.4375,0.5625,0.625,42.4875,8,-1,-3,-0.2307692307692308,-6,Phenol,No gap,1.4116940528614867,0,-1.4116940528614867,0.33428194339465767,0.939741959353124,Downregulated,LEDU
Feature0145,[Similar to: D-(+)-Glucose; ΔMass: 31.0422 Da],C7 H17 N O6,211.10558,NA,[Similar to: D-(+)-Glucose; ΔMass: 31.0422 Da],7,17,1,6,0,0,0,2.4285714285714284,0.8571428571428571,-0.2857142857142856,68.44285714285714,0,-6,-Inf,-1.3333333333333333,-7,Carbohydrate,No gap,1.2997582387066866,0,-1.2997582387066866,0.33428194339465733,0.939741959353124,Downregulated,LEDU
Feature0085,"4-amino-4-carboxy-2,2,6,6-tetramethyl-1-piperidinyloxy",C10 H20 N2 O3,216.14739,NA,"4-amino-4-carboxy-2,2,6,6-tetramethyl-1-piperidinyloxy-peak2",10,20,2,3,0,0,0,2,0.3,-0.7999999999999998,83.1,2,-1,-0.6,-0.2307692307692308,-3,Lipid,No gap,1.5899845042297334,0,-1.5899845042297334,0.33428194339465733,0.939741959353124,Downregulated,LEDU
Feature0044,1-Amino-1-deoxyhexitol,C6 H15 N O5,181.09505,NA,1-Amino-1-deoxyhexitol,6,15,1,5,0,0,0,2.5,0.8333333333333334,-0.33333333333333304,69.79999999999998,0,-5,-Inf,-1.4,-6,Carbohydrate,No gap,1.31994075945488,0,-1.31994075945488,0.33428194339465733,0.939741959353124,Downregulated,LEDU
