Name,Formula,Annot. Source: Predicted Compositions,Annot. Source: mzCloud Search,Annot. Source: Metabolika Search,Annot. Source: ChemSpider Search,Annot. DeltaMass [ppm],Calc. MW,RT [min],Area (Max.),# mzCloud Results,mzCloud Best Match,mzCloud Best Match Confidence,KEGG Pathways,MS2,Area: 2,Area: 10,Area: 14,Area: 19,Area: 23,Area: 40,Area: 41,Area: 46,Area: 47,Area: 57,Area: 59,Area: 60,Area: B,Gap Fill Status: 10_HILIC_neg_MS2.raw (F2),Gap Fill Status: 14_HILIC_neg_MS2.raw (F3),Gap Fill Status: 19_HILIC_neg_MS2.raw (F4),Gap Fill Status: 23_HILIC_neg_MS2.raw (F5),Gap Fill Status: 40_HILIC_neg_MS2.raw (F6),Gap Fill Status: 41_HILIC_neg_MS2.raw (F7),Gap Fill Status: 46_HILIC_neg_MS2.raw (F8),Gap Fill Status: 47_HILIC_neg_MS2.raw (F9),Gap Fill Status: 57_HILIC_neg_MS2.raw (F10),Gap Fill Status: 59_HILIC_neg_MS2.raw (F11),Gap Fill Status: 60_HILIC_neg_MS2.raw (F12),Gap Fill Status: B_HILIC_neg_MS2.raw (F13)
[Similar to: 4-(2-thienyl)benzoic acid; ΔMass: -6.1318 Da],,No results,Invalid mass,No results,No results,,197.89265,15.026,331129773.3,10,,,,DDA for preferred ion,233248709.7,265487259.6,257653448.7,272333251.5,314470422.1,249650415.9,245030620.2,281400754.6,331129773.3,150923060.3,290612961.1,147768930,128,0,0,0,0,128,128,0,0,128,0,128,32
6-Oxohexanoic acid,C6 H10 O3,Full match,Invalid mass,Partial match,Full match,0.65,130.06308,2.407,331032875.6,28,,,Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Degradation of aromatic compounds;Other,DDA for preferred ion,2069860.472,45637100.4,331032875.6,7848035.821,221373645.5,3375053.056,3200935.487,1463816.841,5685504.031,9380496.875,45857581.61,1941917.393,128,128,0,128,128,128,128,128,128,128,128,128,16
2-[6-(1H-benzo[d]imidazol-2-yl)-2-pyridyl]-1H-benzo[d]imidazole,C19 H13 N5,No match,Invalid mass,No results,No match,3232.56,312.1228,7.072,324375929.1,2,95.5,9.8,,DDA for preferred ion,72902.91565,59692673.41,143601458.8,146556.1676,200082.5403,136617.1952,84029.2829,75095672.53,324375929.1,80998.35361,164334149.1,85711.96261,32,128,0,16,128,16,32,128,0,32,0,32,32
"[Similar to: O1-(2-thienylcarbonyl)-2-({5-[4-(tert-butyl)phenyl]-4-methyl-4H-1,2,4-triazol-3-yl}thio)ethanehydroximamide; ΔMass: 138.0353 Da]",C19 H29 N5 O15,Full match,Invalid mass,No results,No results,-2.49,567.16461,13.603,322676218,98,,,,DDA for preferred ion,289753876.3,2211031.129,9275509.694,74573199.81,25568403.86,277529596.3,322676218,417000.3338,2614661.7,58510871.83,7293444.51,66349905.26,0,128,128,128,128,0,0,128,128,128,128,128,32
Uridine,C9 H12 N2 O6,Full match,Full match,Full match,Full match,-0.29,244.06947,3.908,310678932.2,5,96.9,100,Metabolic pathways;ABC transporters;Other,DDA for preferred ion,234414593.7,69963387.3,86131656.98,135780614.5,163967628,251961808,310678932.2,84625517.33,256469359.6,99485711.76,125586890.1,77315892.34,0,128,128,128,0,0,0,128,0,128,128,128,32
"?,?'-diglycerol",C6 H14 O5,Full match,No results,No results,Full match,-0.44,166.08405,7.141,307068990.9,0,,,,DDA for preferred ion,537017.9084,112719781.4,123870372.6,6457306.889,111295796.9,279731.4123,188786.9491,158708542,307068990.9,8185484.336,251052150.9,6271403.527,128,128,128,128,128,128,32,128,0,128,0,128,32
ethyl 4-[2-(4-methylbenzoyl)hydrazino]-2-(trifluoromethyl)pyrimidine-5-carboxylate,C16 H15 F3 N4 O3,No match,Invalid mass,No results,No match,8.01,368.11257,9.449,274204116.8,6,83.5,9.2,,DDA for preferred ion,103079029.6,110734.3013,354181.859,237924582.3,236599.5535,274204116.8,264193901.3,190233.7934,20173427.2,74604075.48,189324.7395,23733176.54,128,32,128,0,16,0,0,16,128,128,16,128,32
,C9 H5 N2 O5 P,Full match,No results,No results,No results,0.58,251.99375,7.075,252836956,0,,,,DDA for preferred ion,618751.4897,80026573.88,141848149.8,755936.3025,2344370.555,505622.8449,668221.2308,99194303.28,240818792,500271.6365,252836956,520248.4835,128,128,0,128,128,128,128,128,0,128,0,128,32
2-O-beta-L-Arabinofuranosyl-beta-L-arabinofuranose,C10 H18 O9,Full match,Invalid mass,No results,Not the top hit,-0.02,282.09508,4.405,252433498.5,2,,,ABC transporters,DDA for preferred ion,139264434,58519060.18,134431049.2,246950043.3,152866358.7,163517011.8,211232999.9,167784.9103,17853043.81,252433498.5,91789416.42,232418285.1,128,128,128,0,128,128,0,32,128,0,128,0,32
L-Glutamic acid,C5 H9 N O4,Full match,Full match,Full match,Full match,0.43,147.05322,12.045,248373804.6,12,99,74.8,Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;ABC transporters;Biosynthesis of plant secondary metabolites;Taste transduction;Central carbon metabolism in cancer;Carbon metabolism;Biosynthesis of cofactors;Other,DDA for preferred ion,34216111.98,50272494.88,37757903.16,43081771.68,20392375.54,39154530.07,55685615.55,84535997.35,248373804.6,25224252.35,93687105.13,37167469.52,128,128,128,128,128,128,128,128,0,128,128,128,32
"2-Amino-N'-(2,4-dinitrophenyl)-5-hydroxypentanehydrazide",C11 H15 N5 O6,Full match,Invalid mass,No results,Full match,0.24,313.10231,3.821,238304601.4,57,,,,DDA for preferred ion,14265459.89,95463541.2,95166939.89,141307353.5,140681016.4,16250632.5,19128396.55,106225947.7,238304601.4,103036587,168552719.6,96085679.37,128,128,128,128,128,128,128,128,0,128,0,128,32
DL-Mevalonic acid,C6 H12 O4,Full match,Invalid mass,Full match,Full match,0.46,148.07363,3.245,237787182.7,118,,,Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of plant secondary metabolites;Biosynthesis of terpenoids and steroids;Biosynthesis of plant hormones;Biosynthesis of cofactors;Other,DDA for preferred ion,371331.7274,42791120.32,157159568,31400745.9,114049678.7,714315.1417,421365.9994,2942898.721,237787182.7,109098.3399,571624.5978,88661.89497,128,128,0,128,0,128,128,128,0,16,16,32,32
Citric acid,C6 H8 O7,Full match,Full match,Full match,Full match,0.18,192.02704,15.046,235617865,39,99.3,100,Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Biosynthesis of plant secondary metabolites;Taste transduction;Biosynthesis of phenylpropanoids;Biosynthesis of terpenoids and steroids;Biosynthesis of plant hormones;Central carbon metabolism in cancer;Carbon metabolism;Biosynthesis of cofactors;Other,DDA for preferred ion,35040259.83,1591109.396,1822592.063,69300829.08,1652376.152,68689093.45,235617865,2444376.819,2836728.164,34966750.02,4204040.975,21855045.42,128,128,128,128,128,128,0,128,128,128,128,128,128
,,No results,No results,No results,No results,,244.90657,2.291,233056776.6,0,,,,DDA for preferred ion,157332152.2,655840.1718,208584.0549,5414127.113,523610.3707,204339686.8,233056776.6,76452.75006,82659.40747,470516.7283,278072.5899,247941.5823,0,128,16,128,128,0,0,32,32,128,16,16,32
"3,4-Dihydroxyphenylpropionic acid",C9 H10 O4,Full match,Full match,Partial match,Full match,-0.02,182.05791,1.497,203901178.3,11,95.2,100,Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Degradation of aromatic compounds;Other,DDA for preferred ion,749706.2003,1389164.034,1665542.605,197728733.6,229931.4273,1010517.697,1318020.578,694291.3945,646272.7402,203901178.3,1026836.727,194143242,16,128,128,0,128,128,128,128,128,0,128,0,32
[Similar to: N-(2-hydroxyethyl)-N'-propylthiourea; ΔMass: 55.8690 Da],,No results,Invalid mass,No results,No results,,217.95171,3.676,191611524.8,2,,,,DDA for preferred ion,92538.83172,94405.45206,104725.1059,151720.3326,108816.921,99054.25799,106742.5494,94976.73986,109866.4852,186054115.9,30359557.33,191611524.8,32,32,32,16,32,32,32,32,32,0,128,0,32
[Similar to: α-Cyclodextrin; ΔMass: -260.0901 Da],C29 H46 O16 P2,Full match,Invalid mass,No results,No results,1.09,712.22688,15.205,189779244.1,8,,,,DDA for preferred ion,113560264.2,139859.4271,201790.3289,22724286.93,88959.27304,126068467.5,189779244.1,277650.7735,370224.235,18930936.56,87547.05615,15944163.59,128,128,16,128,32,128,0,128,16,128,32,128,32
1-O-acetyl-alpha-maltose,C14 H24 O12,Full match,Invalid mass,No results,Full match,0.5,384.12697,13.767,188735141.7,99,,,,DDA for preferred ion,123984966.6,81379.83522,81219.55802,15938701.83,1012436.291,159410298.1,188735141.7,107454.7387,93533.35712,10823729.7,239611.6787,15137840.97,128,32,32,128,128,128,0,16,128,128,128,128,32
Adenine,C5 H5 N5,Full match,Full match,Full match,Partial match,0.51,135.05456,3.293,187191354.7,12,98.1,9.9,Metabolic pathways;Biosynthesis of secondary metabolites;Other,DDA for preferred ion,128859907.3,1987297.407,1018598.526,475861.9653,1039015.509,162656808.3,187191354.7,3946038.029,6420876.005,275109.2327,4536304.499,380819.6301,128,128,128,128,128,0,0,128,128,128,128,128,32
4-Nitrocatechol sulfate,C6 H5 N O7 S,No match,Full match,No results,No results,4.26,234.97967,3.293,180979315.7,3,80.8,9,,DDA for preferred ion,94712862.65,1154372.08,320388.9206,179937.5163,263981.5969,151407664.9,180979315.7,3205071.992,2994722.198,430926.1976,1815648.717,320138.7767,128,128,128,128,32,0,0,128,128,16,128,16,32
2-methoxyresorcinol sulfate,C7 H8 O6 S,Full match,Invalid mass,No results,Full match,-0.39,220.00407,1.182,160776795,12,,,,DDA for preferred ion,360527.4481,31104.05555,67664.24798,145317413.3,41436.35761,198450.8024,31982.31903,31176.23973,128883.5602,150417068.4,36680.47992,160776795,128,32,16,0,32,128,32,32,128,0,32,0,32
,,No results,No results,No results,No results,,129.96692,7.603,151917532.1,0,,,,DDA for preferred ion,83745315.93,57022092.02,69521684.42,116775963.4,103743135.7,99571455.02,117887947.5,66061115.7,151917532.1,92207737.51,94799459.51,102330537.2,128,128,128,128,128,128,128,128,0,128,128,128,16
3-Methylsalicylic acid,C8 H8 O3,Full match,Full match,Partial match,Partial match,0.42,152.04741,1.623,146019510.2,8,99.9,10,Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Degradation of aromatic compounds;Biosynthesis of phenylpropanoids;Other,DDA for preferred ion,247407.5523,78011998.75,117314843.4,2184368.235,146019510.2,992401.4287,229763.1674,1646720.628,5178309.846,864240.4662,114906806.2,820301.4226,128,0,0,128,0,128,128,128,128,128,0,128,32
[Similar to: 4-(2-thienyl)benzoic acid; ΔMass: 13.9272 Da],,No results,Invalid mass,No results,No results,,217.9517,3.426,144289774.6,2,,,,DDA for preferred ion,26605773.36,8329179.732,33155328.55,144289774.6,44266370.62,39324262.31,44420536.5,3818125.877,9713512.669,129758.471,136963.5431,121211.0715,128,128,128,0,128,128,128,128,128,32,32,32,32
,,No results,No results,No results,No results,,246.97838,12.045,137530400.1,0,,,,DDA for preferred ion,7701112.001,20504682.37,13021489.01,14420372.26,4953807.205,10751683.98,13340333.09,50895902.81,137530400.1,7253977.941,57777117.48,16063184.57,128,128,128,128,128,128,128,128,0,128,128,128,32
,,No results,No results,No results,No results,,216.08044,2.007,129253428.6,0,,,,DDA for preferred ion,40060.78823,16306865.75,35028077.39,4600936.86,129253428.6,42793.03727,42672.28436,522338.9223,429807.533,1879931.401,20912320.31,1869154.706,32,128,128,128,0,32,32,128,128,128,128,128,32
1-Nitro-2-phenoxybenzene,C12 H9 N O3,No match,Invalid mass,No results,No match,-11.22,215.05583,12.079,123939640.7,3,60.7,65.2,Metabolic pathways;Other,DDA for preferred ion,2748489.529,26215722.33,35310595.76,23458013.3,123939640.7,4013949.449,4361137.426,7280048.363,21818945.55,21169385,34039370.85,12198091.61,128,128,128,128,0,128,128,128,128,128,128,128,32
L-(+)-Lactic acid,C3 H6 O3,Full match,Full match,Full match,Full match,0.19,90.03171,2.226,115232656.9,4,99.9,10,Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Galactose metabolism;Fructose and mannose metabolism;Central carbon metabolism in cancer;Carbon metabolism;Other,DDA for preferred ion,5336735.686,29335747.58,69719712.29,86880756.31,115232656.9,8556893.584,8409783.296,23115470.07,98206473.09,93810416.52,58498143.17,96386607.92,128,128,0,0,0,128,128,128,0,0,128,0,128
[Similar to: 4-(2-thienyl)benzoic acid; ΔMass: 43.9742 Da],,No results,Invalid mass,No results,No results,,247.99875,3.246,114341104.3,4,,,,DDA for preferred ion,151662.7842,19913115.08,84402401.13,14412135.12,54068515.32,149787.8659,132814.3685,691040.7833,114341104.3,109375.3982,95719.74872,97187.67366,16,128,128,128,128,128,32,128,0,32,32,32,128
9(S)-HpOTrE,C18 H30 O4,Full match,Invalid mass,Full match,Full match,0.26,310.21449,1.121,110344085,19,,,Metabolic pathways;Biosynthesis of secondary metabolites;Other,DDA for preferred ion,27602.36165,933463.8592,8867236.267,1227413.099,110344085,230488.3031,29787.04047,2630014.904,7041032.85,2447153.591,800597.8817,1208645.162,32,128,128,128,0,128,32,128,128,128,128,128,32
4-Hydroxybenzaldehyde,C7 H6 O2,Full match,Full match,Full match,Full match,0.56,122.03685,1.212,110274272.8,24,99.9,10,Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Degradation of aromatic compounds;Biosynthesis of phenylpropanoids;Other,DDA for preferred ion,4181601.625,8859370.19,110274272.8,12090716.71,107389165.6,5042648.394,5731374.909,781178.8649,3499206.925,15004430.11,10750004.02,3928880.089,128,128,128,128,0,128,128,128,128,128,128,128,128
"(3R,4R)-3,4-Dihydroxy-1,5-cyclohexadiene-1-carboxylic acid",C7 H8 O4,Full match,Invalid mass,Partial match,Full match,0.56,156.04235,1.679,106135950,30,,,Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Degradation of aromatic compounds;Other,DDA for preferred ion,328312.455,104587.3464,202935.8372,78026748.42,271824.9921,214949.7583,69650.31113,216774.0859,347978.0506,106135950,151735.5493,86766249.33,128,16,128,0,128,128,128,128,128,0,128,0,32
,C52 H84 O5 P2 S,Full match,No results,No results,No results,-0.07,882.55141,1.122,103842803.6,0,,,,DDA for preferred ion,33572.45411,10283315.53,40172304.52,39733.29787,241516.0157,35763.11078,36229.65535,1267140.34,103842803.6,50090.02806,32540913.59,53997.66722,32,128,128,32,128,32,32,128,0,32,128,32,32
,,No results,No results,No results,No results,,228.96783,8.656,103289536.1,0,,,,DDA for preferred ion,35284876.64,68536.44523,159978.7511,84412395.98,1321985.792,78553054.56,103289536.1,226385.9369,879817.7343,67704.54666,67558.11447,66047.3075,128,32,128,0,128,128,0,128,128,32,32,32,32
,,No results,No results,No results,No results,,192.08055,2.942,100569545.5,0,,,,DDA for preferred ion,66019165.75,433832.3596,381064.3476,414019.0555,711941.2889,78488037.72,100569545.5,1725311.185,24807787.03,469327.6216,2698190.238,267347.0623,128,128,128,128,128,0,0,128,128,128,128,128,32
,C10 H3 N2 O5 P,Full match,No results,No results,No results,0.2,261.97801,2.198,97611743.7,0,,,,DDA for preferred ion,7257202.35,38044614.08,72279778.56,87510719.95,95019706.69,10294817.97,12970159.12,35300964.03,97611743.7,70332654.4,59642877.79,76328092,128,128,128,128,0,128,128,128,0,128,128,128,32
[Similar to: NP-012816; ΔMass: -493.3063 Da],C9 H22 N O8 P,Full match,Invalid mass,No results,No match,0.16,303.10835,11.603,96277523.44,8,,,,DDA for preferred ion,15535392.27,49045307.74,39175984.52,46233470.55,96277523.44,17760593.15,22483990.13,22022586.08,29202906.6,39845404.48,66725903.81,21560809.23,128,128,128,128,0,128,128,128,128,128,128,128,32
[Similar to: N'1-(2-{[2-(phenylsulfonyl)ethyl]thio}acetyl)-2-chlorobenzene-1-carbohydrazide; ΔMass: 234.1398 Da],C35 H36 O6 P2 S,Full match,Invalid mass,No results,No results,1.28,646.17161,1.377,96022991.68,17,,,,DDA for preferred ion,165611.0633,33892.93948,35605.03461,96022991.68,45783.64746,40648.70218,37878.21181,34129.94124,39406.12281,73770437.83,40146.67959,83669960.79,16,32,32,0,32,32,32,32,32,0,32,0,32
"4-(1,3-Benzodioxol-5-ylmethyl)-3-(3,4,5-trimethoxybenzyl)tetrahydro-2-furanol",C22 H26 O7,Full match,Invalid mass,No results,Full match,0.21,402.16794,1.352,94748740.42,2,,,,DDA for preferred ion,379670.8853,50927.96409,54695.75122,27259043.04,60721.76021,75201.92683,78963.42946,53292.55811,53618.79566,94748740.42,53896.10144,94141552.84,128,32,32,128,32,16,32,32,32,0,32,0,32
Phenylacetaldehyde,C8 H8 O,Full match,Full match,Full match,Partial match,0.3,120.05755,1.357,85767438.36,17,96.5,9.8,Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Degradation of aromatic compounds;Other,DDA for preferred ion,334505.1162,55494.2969,58214.59795,21692798.38,66166.23008,75860.55916,181054.1604,58070.90653,60647.58916,85767438.36,61787.33547,83121579.44,128,32,32,128,32,128,128,32,32,0,32,0,32
"2,4,6-Trihydroxyacetophenone",C8 H8 O4,Full match,Full match,Partial match,Partial match,-0.28,168.04221,1.401,78997316.93,19,96.1,87.8,Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Degradation of aromatic compounds;Biosynthesis of cofactors;Other,DDA for preferred ion,71263.17626,144579.8075,112488.2954,35806706.25,155271.897,174912.3531,190239.4542,118700.658,161927.7501,74993444.72,101066.9162,78997316.93,128,16,16,128,16,16,16,16,16,0,16,0,16
"1-(3,4-Dimethoxyphenyl)-4-(4-hydroxy-3-methoxyphenyl)dihydro-1H,3H-furo[3,4-c]furan-3a(4H)-ol",C21 H24 O7,Full match,Invalid mass,No results,Full match,0.52,388.1524,1.277,73219944.26,11,,,,DDA for preferred ion,63841.69813,45241.95785,40354.59606,6661690.347,42323.0171,41037.21379,37804.7355,37451.65135,48160.8471,72869371.86,46506.04238,73219944.26,128,32,32,128,32,32,32,32,32,0,32,0,32
threo-carolignan E,C40 H42 O13,Full match,Invalid mass,No results,Full match,-1.19,730.26167,1.351,60200549.01,21,,,,DDA for preferred ion,43788.12122,33346.19789,34980.81085,11462495.81,39758.90001,44326.55472,42428.73191,34894.46752,35108.07868,60200549.01,35289.65071,59019471.38,32,32,32,128,32,32,32,32,32,0,32,128,32
Picolinic acid,C6 H5 N O2,Full match,Full match,Full match,Full match,0.54,123.0321,1.336,52644142.41,26,99.7,10,Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Degradation of aromatic compounds;Biosynthesis of plant secondary metabolites;Biosynthesis of cofactors;Other,DDA for preferred ion,36679948.74,2228980.11,4332584.977,1272800.711,6039251.856,47709546.25,52644142.41,2438926.646,3397700.662,3191988.33,3889406.005,2086354.887,128,128,128,128,128,0,0,128,128,128,128,16,32
