Name,Formula,Annot. Source: Predicted Compositions,Annot. Source: mzCloud Search,Annot. Source: Metabolika Search,Annot. Source: ChemSpider Search,Annot. DeltaMass [ppm],Calc. MW,RT [min],Area (Max.),MS2,Area: 2,Area: 10,Area: 14,Area: 19,Area: 40,Area: 41,Area: 46,Area: 47,Area: 57,Area: 59,Area: 60,Area: B,Group Area: CTRL1,Group Area: F1154_1,Group Area: F1177_1,Group Area: F1246_1,Group Area: CTRL2,Group Area: CTRL3,Group Area: F1154_2,Group Area: F1177_3,Group Area: F1246_2,Group Area: F1154_3,Group Area: F1246_3,Gap Fill Status: 2plus_RP_pos_MS2.raw (F14),Gap Fill Status: 10plus_RP_pos_MS2.raw (F15),Gap Fill Status: 14plus_RP_pos_MS2.raw (F16),Gap Fill Status: 19plus_RP_pos_MS2.raw (F17),Gap Fill Status: 40plus_RP_pos_MS2.raw (F19),Gap Fill Status: 41plus_RP_pos_MS2.raw (F20),Gap Fill Status: 46plus_RP_pos_MS2.raw (F21),Gap Fill Status: 47plus_RP_pos_MS2.raw (F22),Gap Fill Status: 57plus_RP_pos_MS2.raw (F23),Gap Fill Status: 59plus_RP_pos_MS2.raw (F24),Gap Fill Status: 60plus_RP_pos_MS2.raw (F25),Gap Fill Status: Bplus_RP_pos_MS2.raw (F26)
"Methyl (5-acetamido-2,2-dimethyl-4,6-dioxo-1,3-dioxan-5-yl)acetate",C11 H15 N O7,Full match,No results,No results,Partial match,0.05,273.08487,3.308,619038530.8,DDA for preferred ion,222728320,29633534.88,32027568.76,23471317.5,22293645.1,1172448.313,19717069.51,34901588.98,545589546.9,619038530.8,487483308.6,400058.7494,222728320,29633534.88,32027568.76,23471317.5,22293645.1,1172448.313,19717069.51,34901588.98,545589546.9,619038530.8,487483308.6,128,16,16,16,16,128,16,16,0,0,0,16
"[Similar to: 1,2,3-Tris({4-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)tetrahydropyran-2-yl]oxyphenyl}methyl) 2-hydroxypropane-1,2,3-tricarboxylate; ΔMass: -782.3022 Da]",,No results,Invalid mass,No results,Partial match,,214.0089,2.747,602490473.2,DDA for preferred ion,33328935.65,267175772.6,96022441.5,600965297.2,544521965.5,602490473.2,175258351.5,185020842,19678746.83,5462185.026,15500675.91,52789.00987,33328935.65,267175772.6,96022441.5,600965297.2,544521965.5,602490473.2,175258351.5,185020842,19678746.83,5462185.026,15500675.91,16,0,0,0,0,0,0,0,16,16,16,32
"Methyl (5-acetamido-2,2-dimethyl-4,6-dioxo-1,3-dioxan-5-yl)acetate",C11 H15 N O7,Full match,No results,No results,Partial match,0.13,273.08489,3.368,591610130.9,DDA for preferred ion,14890325.63,513657587.3,588948954.2,572112901.2,216596498.1,262780104.8,488385015.8,591610130.9,28389972.49,39301736.46,12502089.36,418450.4043,14890325.63,513657587.3,588948954.2,572112901.2,216596498.1,262780104.8,488385015.8,591610130.9,28389972.49,39301736.46,12502089.36,16,0,0,64,128,128,0,0,16,16,16,16
"Methyl (5-acetamido-2,2-dimethyl-4,6-dioxo-1,3-dioxan-5-yl)acetate",C11 H15 N O7,Full match,No results,No results,Partial match,0.02,273.08486,3.39,588948954.2,DDA for preferred ion,13710040.44,513657587.3,588948954.2,572112901.2,216173261,258274522,488385015.8,33214731.24,25869637.49,35740653.52,12080517.7,347185.7544,13710040.44,513657587.3,588948954.2,572112901.2,216173261,258274522,488385015.8,33214731.24,25869637.49,35740653.52,12080517.7,16,64,64,0,128,128,64,16,16,16,16,16
L-Pyroglutamic acid,C5 H7 N O3,Full match,Full match,Full match,Partial match,-0.22,129.04256,3.078,570516382.3,DDA for preferred ion,17627856.28,8643122.035,11041245.91,570516382.3,417944873.4,506071437.2,7562294.449,15058261.68,2668205.335,421227.5335,912739.2921,123300.8252,17627856.28,8643122.035,11041245.91,570516382.3,417944873.4,506071437.2,7562294.449,15058261.68,2668205.335,421227.5335,912739.2921,16,128,128,0,0,0,128,128,16,16,16,128
D-Raffinose,C18 H32 O16,No match,Invalid mass,No results,Partial match,43600.61,526.15111,1.818,568459554.2,DDA for preferred ion,38394156.74,21266752.11,28138695.48,255203035.7,534952063.8,568459554.2,13764989.06,19665168.13,235788914.9,10049857.86,205922072.6,163390.4371,38394156.74,21266752.11,28138695.48,255203035.7,534952063.8,568459554.2,13764989.06,19665168.13,235788914.9,10049857.86,205922072.6,16,128,128,128,64,0,128,128,128,16,64,32
Isoleucine,C6 H13 N O2,Full match,Full match,Partial match,Partial match,-0.24,131.0946,3.635,555798124.3,DDA for preferred ion,262487841.5,224127603.6,134631419.2,96861444.75,256959057.3,325628227.3,209857723.4,555798124.3,1059227.258,17837733.41,385915.1446,52955.58614,262487841.5,224127603.6,134631419.2,96861444.75,256959057.3,325628227.3,209857723.4,555798124.3,1059227.258,17837733.41,385915.1446,0,0,0,128,0,64,64,0,16,16,16,32
DL-Stachydrine,C7 H13 N O2,Full match,Full match,No results,Partial match,0.05,143.09464,1.401,549446801.7,DDA for preferred ion,2953497.736,65203253.84,132332103.5,4632637.237,3510198.058,4009808.443,105374261.1,549446801.7,3969688.1,103333771.8,4131250.19,65861.81652,2953497.736,65203253.84,132332103.5,4632637.237,3510198.058,4009808.443,105374261.1,549446801.7,3969688.1,103333771.8,4131250.19,128,0,0,128,128,128,0,0,128,0,128,16
L-Tyrosine,C9 H11 N O3,Full match,Full match,Full match,Partial match,0.12,181.07392,3.769,547800984.8,DDA for preferred ion,4686035.809,270127508.6,189117348.4,7376551.601,348656323.8,445441513.2,214830217.5,547800984.8,2099826.276,1498551.186,778008.9444,64421.49027,4686035.809,270127508.6,189117348.4,7376551.601,348656323.8,445441513.2,214830217.5,547800984.8,2099826.276,1498551.186,778008.9444,16,0,64,16,0,64,64,0,16,16,16,128
[Similar to: 3-[1-(dimethylamino)-1H-pyrrol-2-yl]-2-(2-furylcarbonyl)acrylonitrile; ΔMass: 200.0995 Da],C19 H29 N5 O8,Full match,Invalid mass,No results,Partial match,-2.88,455.2003,6.408,544491467.7,DDA for preferred ion,457915747.7,32896885.48,652248.6703,60204685.68,436218732.5,544491467.7,24445030.13,3346750.572,21222914.15,2410774.188,5453876.07,127990.74,457915747.7,32896885.48,652248.6703,60204685.68,436218732.5,544491467.7,24445030.13,3346750.572,21222914.15,2410774.188,5453876.07,0,128,16,128,0,0,128,128,128,16,128,32
methyl N-acetylneuraminate,C12 H21 N O9,Full match,Invalid mass,No results,Partial match,0.09,323.12166,5.998,539870182.4,DDA for preferred ion,539870182.4,2052936.064,1329564.612,178746879.1,34395714.15,32405052.95,1280639.014,1608761.985,68148121.98,1448806.63,13893241.94,260382.6485,539870182.4,2052936.064,1329564.612,178746879.1,34395714.15,32405052.95,1280639.014,1608761.985,68148121.98,1448806.63,13893241.94,0,16,16,128,16,16,16,32,128,16,128,32
"[Similar to: 1,2,3-Tris({4-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)tetrahydropyran-2-yl]oxyphenyl}methyl) 2-hydroxypropane-1,2,3-tricarboxylate; ΔMass: -782.3022 Da]",,No results,Invalid mass,No results,Partial match,,214.00889,2.703,532351523.7,DDA for preferred ion,532351523.7,4378575.394,424123.5348,17307258.49,4338584.484,1865412.922,3034140.437,185020842,511785488.9,214820100.6,461344831.6,55435.18566,532351523.7,4378575.394,424123.5348,17307258.49,4338584.484,1865412.922,3034140.437,185020842,511785488.9,214820100.6,461344831.6,0,16,16,16,16,16,16,64,0,0,0,32
"3,4-Dihydroxyphenylpropionic acid",C9 H10 O4,No match,Invalid mass,No match,Partial match,-98927.44,164.04739,17.337,524964971.6,DDA for preferred ion,447654.5245,158561.3934,157918.8243,524964971.6,478962.6532,510727.3584,218895.2737,243541.1447,439244888.9,353756.6102,377434307.1,1188667.244,447654.5245,158561.3934,157918.8243,524964971.6,478962.6532,510727.3584,218895.2737,243541.1447,439244888.9,353756.6102,377434307.1,16,16,32,0,16,16,16,16,0,16,0,16
D-Raffinose,C18 H32 O16,No match,Invalid mass,No results,Partial match,33771.59,521.19562,1.566,522784006.1,DDA for preferred ion,499497551.2,3589564.566,12392295.14,157087239.1,470417950.1,522784006.1,12199233.72,50614919.01,135472741.7,3237615.093,105898340,109719.276,499497551.2,3589564.566,12392295.14,157087239.1,470417950.1,522784006.1,12199233.72,50614919.01,135472741.7,3237615.093,105898340,0,16,128,128,0,0,16,128,128,16,128,32
N-Methyl-Nâ€²-piperazinoacetohydrazide,C7 H16 N4 O,Full match,No results,No results,Partial match,0.17,172.13244,3.496,504586564.4,DDA for preferred ion,5107038.521,84566.9988,88463.79228,332720.1237,337373.6463,90807.28879,79123.59428,99532.74814,504586564.4,141887.4136,478639900.5,59917.69005,5107038.521,84566.9988,88463.79228,332720.1237,337373.6463,90807.28879,79123.59428,99532.74814,504586564.4,141887.4136,478639900.5,128,32,32,16,16,32,32,16,0,128,0,32
L-Saccharopine,C11 H20 N2 O6,Full match,Full match,Full match,Partial match,0.08,276.13216,1.119,498999067,DDA for preferred ion,4383513.321,494493253.2,345580759.7,30916747.54,6083871.571,5628225.592,186557719.2,85987851.28,16339689.96,498999067,33622318.64,29786.64852,4383513.321,494493253.2,345580759.7,30916747.54,6083871.571,5628225.592,186557719.2,85987851.28,16339689.96,498999067,33622318.64,128,0,0,128,128,128,0,128,128,0,128,32
L-Pyroglutamic acid,C5 H7 N O3,Full match,Full match,Full match,Partial match,-0.27,129.04256,3.03,482100692.2,DDA for preferred ion,429289316.4,477854.7963,472737.8871,15775238.17,16117154.66,12707085.68,1011113.273,15135196.38,482100692.2,9525773.122,424603236.7,98797.05007,429289316.4,477854.7963,472737.8871,15775238.17,16117154.66,12707085.68,1011113.273,15135196.38,482100692.2,9525773.122,424603236.7,0,16,16,16,16,128,16,128,0,128,0,16
"1-{[(3S,4S,5R)-2,3,4-Trihydroxy-5-(hydroxymethyl)tetrahydro-2-furanyl]methyl}-2-pyrrolidinecarboxylic acid (non-preferred name)",C11 H19 N O7,Full match,Invalid mass,No results,Partial match,0.03,277.11616,1.673,474679144.6,DDA for preferred ion,379637191.9,229375470.7,61303559.44,474679144.6,343323281.8,407363289.6,59771436.63,38402785.31,411665059.4,194426787,276990336.6,111352.9936,379637191.9,229375470.7,61303559.44,474679144.6,343323281.8,407363289.6,59771436.63,38402785.31,411665059.4,194426787,276990336.6,0,0,128,0,0,0,128,128,0,0,0,32
Palmitic Acid,C16 H32 O2,No match,Invalid mass,No results,Partial match,66447.69,273.2668,16.239,467782387.8,DDA for preferred ion,2282586.078,988458.0238,3174222.82,687778.6081,4796328.477,2441284.953,2709192.163,11548789.86,451551549,467782387.8,451788817.7,467273.6932,2282586.078,988458.0238,3174222.82,687778.6081,4796328.477,2441284.953,2709192.163,11548789.86,451551549,467782387.8,451788817.7,16,16,16,16,16,16,16,16,0,0,0,16
DL-Tryptophan,C11 H12 N2 O2,No match,Invalid mass,No results,Partial match,-83426.81,187.06331,8.414,466309796.5,DDA for preferred ion,293535287.9,6073483.829,1178948.614,2868450.341,6113157.808,7095754.409,2337440.179,15555167.48,119712563.8,466309796.5,46110264.49,164914.6923,293535287.9,6073483.829,1178948.614,2868450.341,6113157.808,7095754.409,2337440.179,15555167.48,119712563.8,466309796.5,46110264.49,64,16,16,16,16,16,16,16,128,0,128,16
Valine,C5 H11 N O2,Full match,Full match,Full match,Partial match,-0.41,117.07893,1.775,463680664.6,DDA for preferred ion,342528852,250672733.5,145530791.4,138910573,334655086.3,382825729.4,192643993.6,463680664.6,63863453.34,342355863.7,29566812.7,375918.1143,342528852,250672733.5,145530791.4,138910573,334655086.3,382825729.4,192643993.6,463680664.6,63863453.34,342355863.7,29566812.7,0,0,0,0,0,0,0,0,128,0,128,16
L-Tyrosine,C9 H11 N O3,Full match,Full match,Full match,Partial match,0.12,181.07392,3.791,445441513.2,DDA for preferred ion,3393826.723,270127508.6,189117348.4,169164808.8,348656323.8,445441513.2,214830217.5,16665946.88,2002865.977,1060134.72,706004.5169,58908.07059,3393826.723,270127508.6,189117348.4,169164808.8,348656323.8,445441513.2,214830217.5,16665946.88,2002865.977,1060134.72,706004.5169,16,64,0,0,64,0,0,16,16,16,16,16
"N,N-dimethyl-5-nitro-6-[3-(trifluoromethyl)phenoxy]pyrimidin-4-amine",C13 H11 F3 N4 O3,No match,Full match,No results,Partial match,-3.63,328.07713,5.876,439890689.7,DDA for preferred ion,405608485,1850493.16,1285330.748,142571552.6,409613216.4,439890689.7,2344975.429,1309636.404,41521196.77,2032850.55,28314685.14,56763.8175,405608485,1850493.16,1285330.748,142571552.6,409613216.4,439890689.7,2344975.429,1309636.404,41521196.77,2032850.55,28314685.14,16,128,128,0,16,16,16,128,16,16,16,32
"[Similar to: (2R,3R,3aR,5R)-5,7-dimethoxy-2-(7-methoxy-2H-1,3-benzodioxol-5-yl)-3-methyl-3a-(prop-2-en-1-yl)-2,3,3a,4,5,6-hexahydro-1-benzofuran-6-one; ΔMass: 200.0452 Da]",C30 H30 N6 O8,Full match,Invalid mass,No results,Partial match,0.88,602.21304,20.081,435038080.7,DDA for preferred ion,274324.0779,349447.4537,478560.5047,435038080.7,481751.2156,291493.7366,299511.3288,239190.3067,207535873.9,285710.8702,206479784.5,480734.1082,274324.0779,349447.4537,478560.5047,435038080.7,481751.2156,291493.7366,299511.3288,239190.3067,207535873.9,285710.8702,206479784.5,32,32,32,0,16,32,32,32,0,32,0,32
N-Methyl-Nâ€²-piperazinoacetohydrazide,C7 H16 N4 O,Full match,No results,No results,Partial match,0.13,172.13243,3.603,434715633.7,DDA for preferred ion,127396.3128,100662.9339,1046830.038,434715633.7,5048699.512,5860518.819,101269.5863,263142.7933,5503340.413,121747.7297,5452261.3,65420.26728,127396.3128,100662.9339,1046830.038,434715633.7,5048699.512,5860518.819,101269.5863,263142.7933,5503340.413,121747.7297,5452261.3,32,32,128,0,128,128,32,16,16,32,16,32
Tetrolic Acid,C4 H4 O2,Full match,No results,No results,Partial match,0.17,84.02114,1.315,427389489.4,DDA for preferred ion,403014788.5,5326748.551,10368700.28,53478070.83,278883550.8,427389489.4,1920718.184,8075780.08,38866487.16,3232904.952,43163181.19,210608.0058,403014788.5,5326748.551,10368700.28,53478070.83,278883550.8,427389489.4,1920718.184,8075780.08,38866487.16,3232904.952,43163181.19,0,128,128,128,0,0,128,128,128,128,128,16
2-Fluoro-6-(4-methoxyphenoxy)benzonitrile,C14 H10 F N O2,No match,Invalid mass,No results,Partial match,9.47,243.07186,1.605,421200493.3,DDA for preferred ion,406001.3968,343453382.4,348029205.9,8139315.356,2964332.851,425244.2621,281260647.7,421200493.3,4563342.464,322178386.8,6324025.564,115766.4977,406001.3968,343453382.4,348029205.9,8139315.356,2964332.851,425244.2621,281260647.7,421200493.3,4563342.464,322178386.8,6324025.564,32,0,0,128,128,32,0,0,128,0,128,32
"N2-[4-(4-Chlorophenoxy)phenyl]-1,3,5-triazine-2,4-diamine",C15 H12 Cl N5 O,No match,Invalid mass,No results,Partial match,13.96,313.07741,3.371,415022514.4,DDA for preferred ion,13654466.23,354355466.2,415022514.4,319653614.4,159325543.9,165061217.3,292038410.7,404665497.9,6619896.514,15943409.17,19895911.62,127436.3955,13654466.23,354355466.2,415022514.4,319653614.4,159325543.9,165061217.3,292038410.7,404665497.9,6619896.514,15943409.17,19895911.62,16,0,0,0,128,128,0,0,16,16,16,32
"4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole",C11 H12 O3,Full match,Full match,No results,Partial match,0.09,192.07866,20.081,414909789.1,DDA for preferred ion,607564.3405,356212.2805,560964.8759,414909789.1,955029.4691,1028836.813,613179.8165,243820.7053,169041904.8,852920.9276,158288026.1,818263.9764,607564.3405,356212.2805,560964.8759,414909789.1,955029.4691,1028836.813,613179.8165,243820.7053,169041904.8,852920.9276,158288026.1,16,32,16,0,128,16,16,32,0,16,0,32
Penicillic acid,C8 H10 O4,No results,Invalid mass,No results,Partial match,-13.93,170.05554,2.601,407378359.7,DDA for preferred ion,868639.2322,182788165.7,9062019.273,8561000.348,445438.7554,523857.9929,407378359.7,131564728,4563617.64,11345799.3,4189337.662,206830.3351,868639.2322,182788165.7,9062019.273,8561000.348,445438.7554,523857.9929,407378359.7,131564728,4563617.64,11345799.3,4189337.662,16,0,16,16,32,32,0,128,16,16,16,16
L-Tyrosine,C9 H11 N O3,Full match,Full match,Full match,Partial match,0.04,181.0739,3.671,396991002.6,DDA for preferred ion,3392411.279,2210141.589,220876.3186,419308.6713,328822.2631,244591.6369,935100.8139,1346581.537,84394827.64,396991002.6,64664924.04,97084.17986,3392411.279,2210141.589,220876.3186,419308.6713,328822.2631,244591.6369,935100.8139,1346581.537,84394827.64,396991002.6,64664924.04,16,16,16,16,16,16,16,16,128,0,128,16
DL-Arginine,C6 H14 N4 O2,Full match,Full match,Full match,Partial match,0.66,174.11179,0.996,396845630.8,DDA for preferred ion,167100285.8,169620537.8,193540523.8,97572041.35,158576566.2,156544292.2,182877412.1,396845630.8,70266591.63,212059453.7,36336319.68,131325.6953,167100285.8,169620537.8,193540523.8,97572041.35,158576566.2,156544292.2,182877412.1,396845630.8,70266591.63,212059453.7,36336319.68,0,0,0,0,0,0,0,0,128,0,0,16
7-Oxobenz[de]anthracene,C17 H10 O,No match,Invalid mass,No results,Partial match,15.02,230.07662,4.222,379872296,DDA for preferred ion,65278299.89,200966758.9,379872296,95856561.81,69472464.96,8824436.91,815293.0148,73372039.03,55277274.85,11452259.32,3805319.586,69590.91262,65278299.89,200966758.9,379872296,95856561.81,69472464.96,8824436.91,815293.0148,73372039.03,55277274.85,11452259.32,3805319.586,128,0,0,128,128,16,16,128,128,16,16,32
"N2-[4-(4-Chlorophenoxy)phenyl]-1,3,5-triazine-2,4-diamine",C15 H12 Cl N5 O,No match,Invalid mass,No results,Partial match,13.92,313.0774,3.312,379632109.5,DDA for preferred ion,175420788.2,19422585.16,21038483.84,47707919.79,13853946.3,10701068.85,13301484.34,27003961.23,300062967,379632109.5,328455411.2,137775.2513,175420788.2,19422585.16,21038483.84,47707919.79,13853946.3,10701068.85,13301484.34,27003961.23,300062967,379632109.5,328455411.2,128,16,16,16,16,16,16,16,0,0,128,32
"2-(14,15-Epoxyeicosatrienoyl) glycerol",C23 H38 O5,No match,Invalid mass,No results,Partial match,-45686.58,376.25899,20.836,377963997.9,DDA for preferred ion,255580.5043,155677742.4,45599049.98,42154413.44,862878.381,1131360.377,242757258.5,377963997.9,36593018.37,254853889.8,42862158.85,1206173.767,255580.5043,155677742.4,45599049.98,42154413.44,862878.381,1131360.377,242757258.5,377963997.9,36593018.37,254853889.8,42862158.85,32,0,128,128,16,16,0,0,128,0,128,16
[Similar to: D-(+)-Glucose; ΔMass: 73.0528 Da],C9 H19 N O7,Full match,Invalid mass,No results,Partial match,0.18,253.1162,2.636,373238496.3,DDA for preferred ion,304254795.5,111147329.6,205187050.7,373238496.3,284039762.4,331571967.5,741801.3449,18925366.28,312434966.1,95857137.15,279326087.7,77885.72952,304254795.5,111147329.6,205187050.7,373238496.3,284039762.4,331571967.5,741801.3449,18925366.28,312434966.1,95857137.15,279326087.7,0,128,0,0,0,0,128,128,0,128,0,32
L-Tyrosine,C9 H11 N O3,Full match,Full match,Full match,Partial match,0.04,181.0739,3.722,373109698.7,DDA for preferred ion,373109698.7,7182370.657,2556935.041,7122795.359,4528615.244,28851858.38,581397.373,16950425.3,3638644.715,1439543.242,751957.5898,64421.49027,373109698.7,7182370.657,2556935.041,7122795.359,4528615.244,28851858.38,581397.373,16950425.3,3638644.715,1439543.242,751957.5898,0,16,16,16,16,16,16,16,16,16,16,128
"1,2-di-O-methyl-4-[(2R)-2,4-dihydrobutyramido]-4,6-dideoxy-alpha-D-mannopyranoside",C12 H23 N O7,Full match,Invalid mass,No results,Partial match,0.14,293.14749,5.64,363905423.4,DDA for preferred ion,320952612.6,60553846.27,1230401.012,52325856.67,288075117,363905423.4,12097629.49,77557397.01,2674903.778,1839426.561,12187347.78,133032.869,320952612.6,60553846.27,1230401.012,52325856.67,288075117,363905423.4,12097629.49,77557397.01,2674903.778,1839426.561,12187347.78,0,128,16,128,128,0,128,128,16,16,128,32
muramic acid,C9 H17 N O7,Full match,Not the top hit,No results,Partial match,0.06,251.10052,1.169,362707712.6,DDA for preferred ion,301796944.1,36492128.48,11083014.8,52269906.02,310005161.4,362707712.6,14306472.85,20536858.8,19749673.59,44039382.33,8473232.374,97079.37707,301796944.1,36492128.48,11083014.8,52269906.02,310005161.4,362707712.6,14306472.85,20536858.8,19749673.59,44039382.33,8473232.374,0,128,16,128,0,0,128,128,16,128,128,32
D-Raffinose,C18 H32 O16,No match,Invalid mass,No results,Partial match,43600.53,526.15107,1.58,361086212.2,DDA for preferred ion,329143674.7,3353638.177,3364316.946,190908668.4,347167132.4,361086212.2,23355258.65,34197421.03,148609512.9,8862049.731,88488022.86,136372.3239,329143674.7,3353638.177,3364316.946,190908668.4,347167132.4,361086212.2,23355258.65,34197421.03,148609512.9,8862049.731,88488022.86,0,16,16,128,0,0,16,128,128,16,128,32
Isoleucine,C6 H13 N O2,Full match,Full match,Full match,Partial match,-0.29,131.09459,3.549,348535203.8,DDA for preferred ion,9803000.939,752049.8923,116338.5442,662905.1376,2008247.307,1959503.594,769127.8648,3638124.385,54093117.19,348535203.8,19826332.07,193603.7946,9803000.939,752049.8923,116338.5442,662905.1376,2008247.307,1959503.594,769127.8648,3638124.385,54093117.19,348535203.8,19826332.07,16,16,16,16,16,16,16,16,128,0,128,16
8-hydroxy-deoxyguanosine,C10 H13 N5 O5,Full match,Invalid mass,Partial match,Partial match,0.13,283.0917,6.308,344067311.5,DDA for preferred ion,202943454.2,193706484.6,212487728.8,151778788.3,211658505.1,243495209.6,152893271.2,344067311.5,113768181.9,226518892,90705267.19,143692.222,202943454.2,193706484.6,212487728.8,151778788.3,211658505.1,243495209.6,152893271.2,344067311.5,113768181.9,226518892,90705267.19,0,0,0,64,0,0,0,0,0,0,128,16
NP-019445,C10 H10 O4,Full match,Full match,Partial match,Partial match,0.06,194.05792,12.618,342683453.2,DDA for preferred ion,471493.5472,10784027.44,28887922.65,533166.5114,123064.2446,516403.9741,342683453.2,128802825.4,283200.8828,33268595.87,170654.7895,193446.4559,471493.5472,10784027.44,28887922.65,533166.5114,123064.2446,516403.9741,342683453.2,128802825.4,283200.8828,33268595.87,170654.7895,16,128,128,16,32,16,0,0,16,128,128,32
L-Glutamine,C5 H10 N2 O3,Full match,Full match,Full match,Partial match,0.14,146.06916,1.096,337003299.6,DDA for preferred ion,3274948.923,164890437,161963782.5,95478673.21,4289940.731,929040.9599,75055290.21,337003299.6,56984395.26,169812577.5,66824240.75,49943.46765,3274948.923,164890437,161963782.5,95478673.21,4289940.731,929040.9599,75055290.21,337003299.6,56984395.26,169812577.5,66824240.75,128,0,128,0,128,16,128,0,128,0,128,16
"[Similar to: 4-[(1S,3aR,4S,6aR)-4-(4-hydroxy-3-methoxyphenyl)-hexahydrofuro[3,4-c]furan-1-yl]-2-methoxyphenol; ΔMass: 22.1487 Da]",C19 H36 N6 O2,Full match,Invalid mass,No results,Partial match,0.86,380.2903,20.269,333368421.4,DDA for preferred ion,13977123.83,300408320.1,326326794.8,333368421.4,276806260,314160497.4,319364070.8,33580357.64,314918589.1,13015914.89,19041348.33,12681172.32,13977123.83,300408320.1,326326794.8,333368421.4,276806260,314160497.4,319364070.8,33580357.64,314918589.1,13015914.89,19041348.33,16,64,64,0,64,64,64,16,128,16,16,16
Isoleucine,C6 H13 N O2,Full match,Full match,Partial match,Partial match,-0.17,131.09461,3.655,325628227.3,DDA for preferred ion,10115423.67,224127603.6,134631419.2,96861444.75,256959057.3,325628227.3,209857723.4,142417.4048,1068998.374,1694060.504,389475.1187,52335.70885,10115423.67,224127603.6,134631419.2,96861444.75,256959057.3,325628227.3,209857723.4,142417.4048,1068998.374,1694060.504,389475.1187,16,64,64,128,64,0,0,32,16,16,16,32
3-hydroxy-3-methylpentanedioic acid,C6 H10 O5,No results,Invalid mass,No results,Partial match,135646.96,184.0348,6.94,318892906.4,DDA for preferred ion,36247587.17,170590677.7,318892906.4,279542072.4,34993097.75,41149913.39,104388330,284387784.5,232631632.9,167495059.1,232275657.8,170085.4096,36247587.17,170590677.7,318892906.4,279542072.4,34993097.75,41149913.39,104388330,284387784.5,232631632.9,167495059.1,232275657.8,128,0,0,0,128,128,0,0,0,64,64,16
[Similar to: NP-015005; ΔMass: -441.3129 Da],C29 H43 N5 O10 P2,Full match,Invalid mass,No results,Partial match,0.07,683.24856,1.709,316321011.9,DDA for preferred ion,279559182.5,1665156.19,1133602.263,68304357.36,233035879.3,316321011.9,1772316.215,1326711.439,59775501.42,4651261.304,47620795.59,106288.6858,279559182.5,1665156.19,1133602.263,68304357.36,233035879.3,316321011.9,1772316.215,1326711.439,59775501.42,4651261.304,47620795.59,0,128,128,128,0,0,16,128,16,16,16,32
Palmitic Acid,C16 H32 O2,No match,Invalid mass,No results,Partial match,66447.57,273.26677,16.276,316043524.2,DDA for preferred ion,297624065.1,5827216.688,17918126.2,6267112.933,315605574.1,316043524.2,312257541.1,306991205.3,5218576.795,8565696.835,5402174.983,4294833.182,297624065.1,5827216.688,17918126.2,6267112.933,315605574.1,316043524.2,312257541.1,306991205.3,5218576.795,8565696.835,5402174.983,64,16,16,16,64,64,64,0,16,16,16,16
D-(+)-Maltose,C12 H22 O11,No match,Invalid mass,No results,Partial match,64252.79,364.09813,1.521,312318546.3,DDA for preferred ion,269485947.2,5538329.231,8112010.607,312318546.3,291005856.7,296101550.6,4869316.108,15982478.13,297657718.4,7760423.992,282042354.5,69539.76178,269485947.2,5538329.231,8112010.607,312318546.3,291005856.7,296101550.6,4869316.108,15982478.13,297657718.4,7760423.992,282042354.5,0,16,16,0,0,0,16,16,0,16,0,32
N~2~-Acetyl-L-ornithine,C7 H14 N2 O3,Full match,Invalid mass,Full match,Partial match,0.2,174.10048,1.417,311743336.1,DDA for preferred ion,233968332.3,6285458.659,2223056.508,2870520.684,258711047.2,311743336.1,1227878.739,882674.6892,1972362.191,5801325.373,2227039.878,26267.42119,233968332.3,6285458.659,2223056.508,2870520.684,258711047.2,311743336.1,1227878.739,882674.6892,1972362.191,5801325.373,2227039.878,0,128,128,16,0,0,128,128,16,128,16,32
"(4S,5S,8S,10R)-4,5,8-trihydroxy-10-methyl-3,4,5,8,9,10-hexahydro-2H-oxecin-2-one",C10 H16 O5,Full match,Full match,No results,Partial match,-0.18,216.09973,11.659,311714882,DDA for preferred ion,281071496.8,290793456.9,301486686.8,311346264.8,282154222.3,285421192.7,305785229.2,294058990.8,79202582.7,75018409.63,76430961.84,57424107.87,281071496.8,290793456.9,301486686.8,311346264.8,282154222.3,285421192.7,305785229.2,294058990.8,79202582.7,75018409.63,76430961.84,0,0,0,0,0,0,0,0,128,128,128,128
NP-013538,C12 H16 O8,No match,Invalid mass,No results,Partial match,76304,310.06652,7.479,304017721.4,DDA for preferred ion,265748183.9,1404574.634,1686941.465,175929234.5,279467079,304017721.4,1358288.39,1378959.361,95292495.02,1555654.538,54444820.86,57911.23234,265748183.9,1404574.634,1686941.465,175929234.5,279467079,304017721.4,1358288.39,1378959.361,95292495.02,1555654.538,54444820.86,0,16,16,0,0,0,16,16,0,16,128,32
Cyclo(leucylprolyl),C11 H18 N2 O2,Full match,Full match,No results,Partial match,-0.08,210.13681,11.807,298523958.3,DDA for preferred ion,208248642,248248156,252135006.7,210491743.5,198695009.1,232810672.1,220788554.6,242356372,222467237.5,298523958.3,181346064.1,2204426.16,208248642,248248156,252135006.7,210491743.5,198695009.1,232810672.1,220788554.6,242356372,222467237.5,298523958.3,181346064.1,0,0,0,0,0,0,0,0,0,0,0,16
