Name,Formula,Annot. Source: Predicted Compositions,Annot. Source: mzCloud Search,Annot. Source: Metabolika Search,Annot. Source: ChemSpider Search,Annot. DeltaMass [ppm],Calc. MW,RT [min],Area (Max.),mzCloud Best Match,mzCloud Best Match Confidence,mzCloud Best Sim. Match,mzCloud Library Match: Autoprocessed,mzCloud Library Match: Reference,MS2,Area: 2,Area: 10,Area: 14,Area: 19,Area: 23,Area: 40,Area: 41,Area: 46,Area: 47,Area: 57,Area: 59,Area: 60,Area: B,Group Area: CTRL1,Group Area: F1154_1,Group Area: F1177_1,Group Area: F1246_1,Group Area: F1177_2,Group Area: CTRL2,Group Area: CTRL3,Group Area: F1154_2,Group Area: F1177_3,Group Area: F1246_2,Group Area: F1154_3,Group Area: F1246_3,Gap Fill Status: 2plus_RP_pos_MS2.raw (F14),Gap Fill Status: 10plus_RP_pos_MS2.raw (F15),Gap Fill Status: 14plus_RP_pos_MS2.raw (F16),Gap Fill Status: 19plus_RP_pos_MS2.raw (F17),Gap Fill Status: 23plus_RP_pos_MS2.raw (F18),Gap Fill Status: 40plus_RP_pos_MS2.raw (F19),Gap Fill Status: 41plus_RP_pos_MS2.raw (F20),Gap Fill Status: 46plus_RP_pos_MS2.raw (F21),Gap Fill Status: 47plus_RP_pos_MS2.raw (F22),Gap Fill Status: 57plus_RP_pos_MS2.raw (F23),Gap Fill Status: 59plus_RP_pos_MS2.raw (F24),Gap Fill Status: 60plus_RP_pos_MS2.raw (F25),Gap Fill Status: Bplus_RP_pos_MS2.raw (F26)
D-Raffinose,C18 H32 O16,No match,Invalid mass,No results,No results,43600.48,526.15105,1.798,682879586.9,94.4,71.8,,Multiple matches found,Multiple matches found,DDA for preferred ion,682879586.9,20676761.69,23555949.08,249251777.9,778987.7157,534952063.8,568459554.2,13262398.24,15600981.52,240569261.2,20022408.8,205922072.6,134889.077,682879586.9,20676761.69,23555949.08,249251777.9,778987.7157,534952063.8,568459554.2,13262398.24,15600981.52,240569261.2,20022408.8,205922072.6,0,128,128,128,16,0,64,128,128,128,128,0,32
"N,N-dimethyl-5-nitro-6-[3-(trifluoromethyl)phenoxy]pyrimidin-4-amine",C13 H11 F3 N4 O3,No match,Full match,No results,No match,-3.63,328.07713,6.194,681278853.9,76.4,8.8,91.7,Multiple matches found,Multiple matches found,DDA for preferred ion,681278853.9,2344353.601,2536598.645,313713056.2,91462.38257,558584493.7,303832012.8,2938233.996,2323958.649,95118889.15,737212.9699,30694272.42,103191.7165,681278853.9,2344353.601,2536598.645,313713056.2,91462.38257,558584493.7,303832012.8,2938233.996,2323958.649,95118889.15,737212.9699,30694272.42,16,16,16,0,16,16,0,16,16,128,128,128,32
9-O-acetylneuraminic acid,C11 H19 N O9,Full match,Invalid mass,Partial match,Full match,0.18,309.10604,1.291,673397169.7,,,90.4,Multiple matches found,Multiple matches found,DDA for preferred ion,666205960.7,19140262.85,16826752.25,107095154.1,332320.0925,652214042.3,673397169.7,12908791.92,74731583.16,94936641.07,6111356.069,76188487.63,110202.1724,666205960.7,19140262.85,16826752.25,107095154.1,332320.0925,652214042.3,673397169.7,12908791.92,74731583.16,94936641.07,6111356.069,76188487.63,64,128,128,128,128,0,0,128,128,128,16,128,32
NP-012042,C10 H12 O4,No match,Invalid mass,No results,No match,-91855.95,178.06304,20.081,663570575.3,65.9,47.3,97.6,Multiple matches found,Multiple matches found,DDA for preferred ion,276297.0394,392688.8788,835585.4382,663570575.3,294159.9137,1757139.291,293590.1838,390959.1116,240910.5832,355586128.3,343916.633,346038854.2,808497.5865,276297.0394,392688.8788,835585.4382,663570575.3,294159.9137,1757139.291,293590.1838,390959.1116,240910.5832,355586128.3,343916.633,346038854.2,32,16,16,0,32,128,32,16,32,0,16,0,32
DL-Tryptophan,C11 H12 N2 O2,No match,Invalid mass,No results,No match,-83426.74,187.06332,8.462,649995922.3,99.6,98.9,88.4,Multiple matches found,Multiple matches found,DDA for preferred ion,293535287.9,279421882.4,199633759.6,188397796.6,6073939.833,300458166.7,358218053.3,264416391.8,649995922.3,3245688.939,8371363.321,518258.1445,157362.4778,293535287.9,279421882.4,199633759.6,188397796.6,6073939.833,300458166.7,358218053.3,264416391.8,649995922.3,3245688.939,8371363.321,518258.1445,0,0,64,64,128,0,0,0,0,16,16,16,32
"4-(4-hydroxy-2-methoxy-3,5,6-trimethylbenzoyloxy)-2-methoxy-3,5,6-trimethylbenzoic acid",C22 H26 O7,Not the top hit,Full match,No results,Partial match,0.13,402.1679,19.618,633309591.3,99.2,10,99,Multiple matches found,Multiple matches found,DDA for preferred ion,256300.8884,262116.3609,580133.8115,633309591.3,267224.4716,1186209.35,262879.3887,290674.2275,292591.6259,562782673.9,255802.4188,620469719.7,480005.627,256300.8884,262116.3609,580133.8115,633309591.3,267224.4716,1186209.35,262879.3887,290674.2275,292591.6259,562782673.9,255802.4188,620469719.7,32,32,16,0,32,128,32,32,32,0,32,0,32
"3',4'-Dimethoxyacetophenone",C10 H12 O3,Full match,Full match,No results,Full match,-0.05,180.07864,12.271,625563644.6,63.3,43.1,90.4,Multiple matches found,Multiple matches found,DDA for preferred ion,113926.1039,389306311.7,179447171,263123.0167,91138.97569,111289.2072,117131.0571,486749658.7,54040767.84,92938.88614,625563644.6,89458.14014,261838.6732,113926.1039,389306311.7,179447171,263123.0167,91138.97569,111289.2072,117131.0571,486749658.7,54040767.84,92938.88614,625563644.6,89458.14014,32,0,0,16,32,32,32,0,128,32,0,32,16
"Methyl (5-acetamido-2,2-dimethyl-4,6-dioxo-1,3-dioxan-5-yl)acetate",C11 H15 N O7,Full match,No results,No results,Full match,0.05,273.08487,3.308,619038530.8,,,,No matches found,No matches found,DDA for preferred ion,222728320,29633534.88,32027568.76,23471317.5,1015274.143,22293645.1,1172448.313,19717069.51,34901588.98,545589546.9,619038530.8,487483308.6,400058.7494,222728320,29633534.88,32027568.76,23471317.5,1015274.143,22293645.1,1172448.313,19717069.51,34901588.98,545589546.9,619038530.8,487483308.6,128,16,16,16,16,16,128,16,16,0,0,0,16
"[Similar to: 1,2,3-Tris({4-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)tetrahydropyran-2-yl]oxyphenyl}methyl) 2-hydroxypropane-1,2,3-tricarboxylate; ΔMass: -782.3022 Da]",,No results,Invalid mass,No results,No results,,214.0089,2.747,602490473.2,,,99.4,No matches found,Multiple matches found,DDA for preferred ion,33333420.01,267175772.6,94836126.29,600965297.2,492385.3631,544521965.5,602490473.2,175258351.5,185020842,19704164.46,5469240.139,15520697.02,52857.19365,33333420.01,267175772.6,94836126.29,600965297.2,492385.3631,544521965.5,602490473.2,175258351.5,185020842,19704164.46,5469240.139,15520697.02,16,0,128,0,128,0,0,0,0,16,16,16,32
"Methyl (5-acetamido-2,2-dimethyl-4,6-dioxo-1,3-dioxan-5-yl)acetate",C11 H15 N O7,Full match,No results,No results,Full match,0.13,273.08489,3.368,591610130.9,,,,No matches found,No matches found,DDA for preferred ion,14890325.63,513657587.3,588948954.2,572112901.2,19593981.8,216596498.1,262780104.8,488385015.8,591610130.9,28389972.49,39301736.46,12502089.36,418450.4043,14890325.63,513657587.3,588948954.2,572112901.2,19593981.8,216596498.1,262780104.8,488385015.8,591610130.9,28389972.49,39301736.46,12502089.36,16,0,0,64,128,128,128,0,0,16,16,16,16
"Methyl (5-acetamido-2,2-dimethyl-4,6-dioxo-1,3-dioxan-5-yl)acetate",C11 H15 N O7,Full match,No results,No results,Full match,0.02,273.08486,3.39,588948954.2,,,,No matches found,No matches found,DDA for preferred ion,13710040.44,513657587.3,588948954.2,572112901.2,19593981.8,216173261,258274522,488385015.8,33214731.24,25869637.49,35740653.52,12080517.7,347185.7544,13710040.44,513657587.3,588948954.2,572112901.2,19593981.8,216173261,258274522,488385015.8,33214731.24,25869637.49,35740653.52,12080517.7,16,64,64,0,128,128,128,64,16,16,16,16,16
L-Pyroglutamic acid,C5 H7 N O3,Full match,Full match,Full match,Partial match,-0.22,129.04256,3.078,570516382.3,99.5,10,98.8,Multiple matches found,Multiple matches found,DDA for preferred ion,17627856.28,8643122.035,11041245.91,570516382.3,867326.5621,417944873.4,506071437.2,7562294.449,15058261.68,2668205.335,421227.5335,912739.2921,123300.8252,17627856.28,8643122.035,11041245.91,570516382.3,867326.5621,417944873.4,506071437.2,7562294.449,15058261.68,2668205.335,421227.5335,912739.2921,16,128,128,0,128,0,0,128,128,16,16,16,128
D-Raffinose,C18 H32 O16,No match,Invalid mass,No results,No results,43600.61,526.15111,1.818,568459554.2,94.2,71.1,,Multiple matches found,Multiple matches found,DDA for preferred ion,38394156.74,21266752.11,28138695.48,255203035.7,2332255.668,534952063.8,568459554.2,13764989.06,19665168.13,235788914.9,10049857.86,205922072.6,163390.4371,38394156.74,21266752.11,28138695.48,255203035.7,2332255.668,534952063.8,568459554.2,13764989.06,19665168.13,235788914.9,10049857.86,205922072.6,16,128,128,128,128,64,0,128,128,128,16,64,32
Isoleucine,C6 H13 N O2,Full match,Full match,Partial match,Not the top hit,-0.24,131.0946,3.635,555798124.3,99.2,10,94,Multiple matches found,Multiple matches found,DDA for preferred ion,262487841.5,224127603.6,134631419.2,96861444.75,5921265.184,256959057.3,325628227.3,209857723.4,555798124.3,1059227.258,17837733.41,385915.1446,52955.58614,262487841.5,224127603.6,134631419.2,96861444.75,5921265.184,256959057.3,325628227.3,209857723.4,555798124.3,1059227.258,17837733.41,385915.1446,0,0,0,128,128,0,64,64,0,16,16,16,32
DL-Stachydrine,C7 H13 N O2,Full match,Full match,No results,Full match,0.05,143.09464,1.401,549446801.7,99.5,10,96.6,Multiple matches found,Multiple matches found,DDA for preferred ion,2953497.736,65203253.84,132332103.5,4632637.237,34524.04724,3510198.058,4009808.443,105374261.1,549446801.7,3969688.1,103333771.8,4131250.19,65861.81652,2953497.736,65203253.84,132332103.5,4632637.237,34524.04724,3510198.058,4009808.443,105374261.1,549446801.7,3969688.1,103333771.8,4131250.19,128,0,0,128,16,128,128,0,0,128,0,128,16
L-Tyrosine,C9 H11 N O3,Full match,Full match,Full match,Full match,0.12,181.07392,3.769,547800984.8,97.7,97.2,95.9,Multiple matches found,Multiple matches found,DDA for preferred ion,4686035.809,270127508.6,189117348.4,7376551.601,843561.0655,348656323.8,445441513.2,214830217.5,547800984.8,2099826.276,1498551.186,778008.9444,64421.49027,4686035.809,270127508.6,189117348.4,7376551.601,843561.0655,348656323.8,445441513.2,214830217.5,547800984.8,2099826.276,1498551.186,778008.9444,16,0,64,16,16,0,64,64,0,16,16,16,128
[Similar to: 3-[1-(dimethylamino)-1H-pyrrol-2-yl]-2-(2-furylcarbonyl)acrylonitrile; ΔMass: 200.0995 Da],C19 H29 N5 O8,Full match,Invalid mass,No results,No results,-2.88,455.2003,6.408,544491467.7,,,70.8,Multiple matches found,No matches found,DDA for preferred ion,457915747.7,32896885.48,652248.6703,60204685.68,105123.0002,436218732.5,544491467.7,24445030.13,3346750.572,21222914.15,2410774.188,5453876.07,127990.74,457915747.7,32896885.48,652248.6703,60204685.68,105123.0002,436218732.5,544491467.7,24445030.13,3346750.572,21222914.15,2410774.188,5453876.07,0,128,16,128,16,0,0,128,128,128,16,128,32
"[Similar to: 1,2,3-Tris({4-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)tetrahydropyran-2-yl]oxyphenyl}methyl) 2-hydroxypropane-1,2,3-tricarboxylate; ΔMass: -782.3022 Da]",,No results,Invalid mass,No results,No results,,214.00889,2.703,532351523.7,,,99.2,No matches found,Single match found,DDA for preferred ion,532351523.7,4378575.394,424123.5348,17307258.49,37722.64296,4338584.484,1865412.922,3034140.437,185020842,511785488.9,214820100.6,461344831.6,55435.18566,532351523.7,4378575.394,424123.5348,17307258.49,37722.64296,4338584.484,1865412.922,3034140.437,185020842,511785488.9,214820100.6,461344831.6,0,16,16,16,32,16,16,16,64,0,0,0,32
"3,4-Dihydroxyphenylpropionic acid",C9 H10 O4,No match,Invalid mass,No match,No match,-98927.44,164.04739,17.337,524964971.6,83,9.1,,Multiple matches found,Multiple matches found,DDA for preferred ion,447654.5245,158561.3934,157918.8243,524964971.6,270395.9479,478962.6532,510727.3584,218895.2737,243541.1447,439244888.9,353756.6102,377434307.1,1188667.244,447654.5245,158561.3934,157918.8243,524964971.6,270395.9479,478962.6532,510727.3584,218895.2737,243541.1447,439244888.9,353756.6102,377434307.1,16,16,32,0,16,16,16,16,16,0,16,0,16
D-Raffinose,C18 H32 O16,No match,Invalid mass,No results,No results,33771.59,521.19562,1.566,522784006.1,73.4,46.2,96.5,Multiple matches found,Multiple matches found,DDA for preferred ion,499497551.2,3589564.566,12392295.14,157087239.1,903853.4308,470417950.1,522784006.1,12199233.72,50614919.01,135472741.7,3237615.093,105898340,109719.276,499497551.2,3589564.566,12392295.14,157087239.1,903853.4308,470417950.1,522784006.1,12199233.72,50614919.01,135472741.7,3237615.093,105898340,0,16,128,128,128,0,0,16,128,128,16,128,32
N-Methyl-Nâ€²-piperazinoacetohydrazide,C7 H16 N4 O,Full match,No results,No results,Full match,0.17,172.13244,3.496,504586564.4,,,,No matches found,No matches found,DDA for preferred ion,5107038.521,84566.9988,88463.79228,332720.1237,38002.35392,337373.6463,90807.28879,79123.59428,99532.74814,504586564.4,141887.4136,478639900.5,59917.69005,5107038.521,84566.9988,88463.79228,332720.1237,38002.35392,337373.6463,90807.28879,79123.59428,99532.74814,504586564.4,141887.4136,478639900.5,128,32,32,16,32,16,32,32,16,0,128,0,32
L-Saccharopine,C11 H20 N2 O6,Full match,Full match,Full match,Full match,0.08,276.13216,1.119,498999067,82.9,77.3,69.8,Multiple matches found,Single match found,DDA for preferred ion,4383513.321,494493253.2,345580759.7,30916747.54,7583381.706,6083871.571,5628225.592,186557719.2,85987851.28,16339689.96,498999067,33622318.64,29786.64852,4383513.321,494493253.2,345580759.7,30916747.54,7583381.706,6083871.571,5628225.592,186557719.2,85987851.28,16339689.96,498999067,33622318.64,128,0,0,128,128,128,128,0,128,128,0,128,32
L-Pyroglutamic acid,C5 H7 N O3,Full match,Full match,Full match,Partial match,-0.27,129.04256,3.03,482100692.2,99.6,10,98.8,Multiple matches found,Multiple matches found,DDA for preferred ion,429289316.4,477854.7963,472737.8871,15775238.17,197865.433,16117154.66,12707085.68,1011113.273,15135196.38,482100692.2,9525773.122,424603236.7,98797.05007,429289316.4,477854.7963,472737.8871,15775238.17,197865.433,16117154.66,12707085.68,1011113.273,15135196.38,482100692.2,9525773.122,424603236.7,0,16,16,16,16,16,128,16,128,0,128,0,16
"1-{[(3S,4S,5R)-2,3,4-Trihydroxy-5-(hydroxymethyl)tetrahydro-2-furanyl]methyl}-2-pyrrolidinecarboxylic acid (non-preferred name)",C11 H19 N O7,Full match,Invalid mass,No results,Not the top hit,0.03,277.11616,1.673,474679144.6,,,79.5,Multiple matches found,Multiple matches found,DDA for preferred ion,379637191.9,229375470.7,61303559.44,474679144.6,152704.0001,343323281.8,407363289.6,59771436.63,38402785.31,411665059.4,194426787,276990336.6,111352.9936,379637191.9,229375470.7,61303559.44,474679144.6,152704.0001,343323281.8,407363289.6,59771436.63,38402785.31,411665059.4,194426787,276990336.6,0,0,128,0,16,0,0,128,128,0,0,0,32
Palmitic Acid,C16 H32 O2,No match,Invalid mass,No results,No match,66447.69,273.2668,16.239,467782387.8,82.3,51.4,,Multiple matches found,No matches found,DDA for preferred ion,2282586.078,988458.0238,3174222.82,687778.6081,3450510.56,4796328.477,2441284.953,2709192.163,11548789.86,451551549,467782387.8,451788817.7,467273.6932,2282586.078,988458.0238,3174222.82,687778.6081,3450510.56,4796328.477,2441284.953,2709192.163,11548789.86,451551549,467782387.8,451788817.7,16,16,16,16,16,16,16,16,16,0,0,0,16
DL-Tryptophan,C11 H12 N2 O2,No match,Invalid mass,No results,No match,-83426.81,187.06331,8.414,466309796.5,99.6,98.9,88.4,Multiple matches found,Multiple matches found,DDA for preferred ion,293535287.9,6073483.829,1178948.614,2868450.341,130645.1043,6113157.808,7095754.409,2337440.179,15555167.48,119712563.8,466309796.5,46110264.49,164914.6923,293535287.9,6073483.829,1178948.614,2868450.341,130645.1043,6113157.808,7095754.409,2337440.179,15555167.48,119712563.8,466309796.5,46110264.49,64,16,16,16,16,16,16,16,16,128,0,128,16
Valine,C5 H11 N O2,Full match,Full match,Full match,Full match,-0.41,117.07893,1.775,463680664.6,99,10,99.1,Multiple matches found,Multiple matches found,DDA for preferred ion,342528852,250672733.5,145530791.4,138910573,5193858.657,334655086.3,382825729.4,192643993.6,463680664.6,63863453.34,342355863.7,29566812.7,375918.1143,342528852,250672733.5,145530791.4,138910573,5193858.657,334655086.3,382825729.4,192643993.6,463680664.6,63863453.34,342355863.7,29566812.7,0,0,0,0,128,0,0,0,0,128,0,128,16
L-Tyrosine,C9 H11 N O3,Full match,Full match,Full match,Full match,0.12,181.07392,3.791,445441513.2,98.3,98.4,97,Multiple matches found,Multiple matches found,DDA for preferred ion,3393826.723,270127508.6,189117348.4,169164808.8,6397630.132,348656323.8,445441513.2,214830217.5,16665946.88,2002865.977,1060134.72,706004.5169,58908.07059,3393826.723,270127508.6,189117348.4,169164808.8,6397630.132,348656323.8,445441513.2,214830217.5,16665946.88,2002865.977,1060134.72,706004.5169,16,64,0,0,128,64,0,0,16,16,16,16,16
"N,N-dimethyl-5-nitro-6-[3-(trifluoromethyl)phenoxy]pyrimidin-4-amine",C13 H11 F3 N4 O3,No match,Full match,No results,No match,-3.63,328.07713,5.876,439890689.7,76.1,8.8,92,Multiple matches found,Multiple matches found,DDA for preferred ion,405608485,1850493.16,1285330.748,142571552.6,43664.07497,409613216.4,439890689.7,2344975.429,1309636.404,41521196.77,2032850.55,28314685.14,56763.8175,405608485,1850493.16,1285330.748,142571552.6,43664.07497,409613216.4,439890689.7,2344975.429,1309636.404,41521196.77,2032850.55,28314685.14,16,128,128,0,32,16,16,16,128,16,16,16,32
"[Similar to: (2R,3R,3aR,5R)-5,7-dimethoxy-2-(7-methoxy-2H-1,3-benzodioxol-5-yl)-3-methyl-3a-(prop-2-en-1-yl)-2,3,3a,4,5,6-hexahydro-1-benzofuran-6-one; ΔMass: 200.0452 Da]",C30 H30 N6 O8,Full match,Invalid mass,No results,No results,0.88,602.21304,20.081,435038080.7,,,86.6,Multiple matches found,No matches found,DDA for preferred ion,274324.0779,349447.4537,478560.5047,435038080.7,292059.3983,481751.2156,291493.7366,299511.3288,239190.3067,207535873.9,285710.8702,206479784.5,480734.1082,274324.0779,349447.4537,478560.5047,435038080.7,292059.3983,481751.2156,291493.7366,299511.3288,239190.3067,207535873.9,285710.8702,206479784.5,32,32,32,0,32,16,32,32,32,0,32,0,32
N-Methyl-Nâ€²-piperazinoacetohydrazide,C7 H16 N4 O,Full match,No results,No results,Full match,0.13,172.13243,3.603,434715633.7,,,,No matches found,No matches found,DDA for preferred ion,127396.3128,100662.9339,1046830.038,434715633.7,664636.1074,5048699.512,5860518.819,101269.5863,263142.7933,5503340.413,121747.7297,5452261.3,65420.26728,127396.3128,100662.9339,1046830.038,434715633.7,664636.1074,5048699.512,5860518.819,101269.5863,263142.7933,5503340.413,121747.7297,5452261.3,32,32,128,0,128,128,128,32,16,16,32,16,32
Tetrolic Acid,C4 H4 O2,Full match,No results,No results,Full match,0.17,84.02114,1.315,427389489.4,,,,No matches found,No matches found,DDA for preferred ion,403014788.5,5326748.551,10368700.28,53478070.83,429763.7832,278883550.8,427389489.4,1920718.184,8075780.08,38866487.16,3232904.952,43163181.19,210608.0058,403014788.5,5326748.551,10368700.28,53478070.83,429763.7832,278883550.8,427389489.4,1920718.184,8075780.08,38866487.16,3232904.952,43163181.19,0,128,128,128,16,0,0,128,128,128,128,128,16
2-Fluoro-6-(4-methoxyphenoxy)benzonitrile,C14 H10 F N O2,No match,Invalid mass,No results,No results,9.47,243.07186,1.605,421200493.3,96.5,9.8,99,Multiple matches found,Multiple matches found,DDA for preferred ion,406001.3968,343453382.4,348029205.9,8139315.356,8626994.194,2964332.851,425244.2621,281260647.7,421200493.3,4563342.464,322178386.8,6324025.564,115766.4977,406001.3968,343453382.4,348029205.9,8139315.356,8626994.194,2964332.851,425244.2621,281260647.7,421200493.3,4563342.464,322178386.8,6324025.564,32,0,0,128,16,128,32,0,0,128,0,128,32
"N2-[4-(4-Chlorophenoxy)phenyl]-1,3,5-triazine-2,4-diamine",C15 H12 Cl N5 O,No match,Invalid mass,No results,No match,13.96,313.07741,3.371,415022514.4,85.2,9.3,,Multiple matches found,Multiple matches found,DDA for preferred ion,13553719.86,354355466.2,415022514.4,319653614.4,7323019.846,159806239,164999547.2,297798996.9,404665497.9,6584263.134,15847821.8,19688754.4,126109.5213,13553719.86,354355466.2,415022514.4,319653614.4,7323019.846,159806239,164999547.2,297798996.9,404665497.9,6584263.134,15847821.8,19688754.4,16,0,0,0,128,128,128,128,0,16,16,16,32
"4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole",C11 H12 O3,Full match,Full match,No results,Full match,0.09,192.07866,20.081,414909789.1,74.9,71.5,98.8,Multiple matches found,Multiple matches found,DDA for preferred ion,607564.3405,356212.2805,560964.8759,414909789.1,297713.2706,955029.4691,1028836.813,613179.8165,243820.7053,169041904.8,852920.9276,158288026.1,818263.9764,607564.3405,356212.2805,560964.8759,414909789.1,297713.2706,955029.4691,1028836.813,613179.8165,243820.7053,169041904.8,852920.9276,158288026.1,16,32,16,0,32,128,16,16,32,0,16,0,32
Penicillic acid,C8 H10 O4,No results,Invalid mass,No results,No results,-13.91,170.05554,2.609,407378359.7,85.3,9.3,93.5,Multiple matches found,Multiple matches found,DDA for preferred ion,1011022.911,155901646.6,9550504.938,9701482.328,9921002.249,518453.1971,609726.5852,407378359.7,132474836.6,5312466.484,13040991.16,4105721.744,272107.9121,1011022.911,155901646.6,9550504.938,9701482.328,9921002.249,518453.1971,609726.5852,407378359.7,132474836.6,5312466.484,13040991.16,4105721.744,16,128,16,16,128,32,32,0,128,16,16,16,16
L-Tyrosine,C9 H11 N O3,Full match,Full match,Full match,Full match,0.04,181.0739,3.671,396991002.6,97.5,95.9,96.1,Multiple matches found,Multiple matches found,DDA for preferred ion,3392411.279,2210141.589,220876.3186,419308.6713,52525.52512,328822.2631,244591.6369,935100.8139,1346581.537,84394827.64,396991002.6,64664924.04,97084.17986,3392411.279,2210141.589,220876.3186,419308.6713,52525.52512,328822.2631,244591.6369,935100.8139,1346581.537,84394827.64,396991002.6,64664924.04,16,16,16,16,16,16,16,16,16,128,0,128,16
DL-Arginine,C6 H14 N4 O2,Full match,Full match,Full match,Full match,0.63,174.11179,0.996,396845630.8,99.3,97.7,98.9,Multiple matches found,Multiple matches found,DDA for preferred ion,167100285.8,169620537.8,193540523.8,97572041.35,8295762.752,158576566.2,156544292.2,182877412.1,396845630.8,70266591.63,212059453.7,36241316.26,132270.1178,167100285.8,169620537.8,193540523.8,97572041.35,8295762.752,158576566.2,156544292.2,182877412.1,396845630.8,70266591.63,212059453.7,36241316.26,0,0,0,0,128,0,0,0,0,128,0,128,16
7-Oxobenz[de]anthracene,C17 H10 O,No match,Invalid mass,No results,No results,15.02,230.07662,4.222,379872296,99.7,10,,Multiple matches found,Multiple matches found,DDA for preferred ion,65278299.89,200966758.9,379872296,95856561.81,24847320.57,69472464.96,8824436.91,815293.0148,73372039.03,55277274.85,11452259.32,3805319.586,69590.91262,65278299.89,200966758.9,379872296,95856561.81,24847320.57,69472464.96,8824436.91,815293.0148,73372039.03,55277274.85,11452259.32,3805319.586,128,0,0,128,128,128,16,16,128,128,16,16,32
"N2-[4-(4-Chlorophenoxy)phenyl]-1,3,5-triazine-2,4-diamine",C15 H12 Cl N5 O,No match,Invalid mass,No results,No match,13.96,313.07741,3.303,379632109.5,86.2,9.3,,Multiple matches found,Multiple matches found,DDA for preferred ion,175272892.6,18925688.31,20526081.38,46605995.83,462314.0015,13522621.04,4859583.838,12971930.46,26360940.75,295619168.5,379632109.5,328297913.1,134766.5738,175272892.6,18925688.31,20526081.38,46605995.83,462314.0015,13522621.04,4859583.838,12971930.46,26360940.75,295619168.5,379632109.5,328297913.1,128,16,16,16,16,16,16,16,16,128,0,128,32
"2-(14,15-Epoxyeicosatrienoyl) glycerol",C23 H38 O5,No match,Invalid mass,No results,No match,-45686.58,376.25899,20.836,377963997.9,92.2,9.6,99.9,Multiple matches found,Multiple matches found,DDA for preferred ion,255580.5043,155677742.4,45599049.98,42154413.44,1235958.846,862878.381,1131360.377,242757258.5,377963997.9,36593018.37,254853889.8,42862158.85,1206173.767,255580.5043,155677742.4,45599049.98,42154413.44,1235958.846,862878.381,1131360.377,242757258.5,377963997.9,36593018.37,254853889.8,42862158.85,32,0,128,128,16,16,16,0,0,128,0,128,16
[Similar to: D-(+)-Glucose; ΔMass: 73.0528 Da],C9 H19 N O7,Full match,Invalid mass,No results,No results,0.18,253.1162,2.636,373238496.3,,,92.1,Multiple matches found,Multiple matches found,DDA for preferred ion,304254795.5,111147329.6,205187050.7,373238496.3,4953566.982,284039762.4,331571967.5,741801.3449,18925366.28,312434966.1,95857137.15,279326087.7,77885.72952,304254795.5,111147329.6,205187050.7,373238496.3,4953566.982,284039762.4,331571967.5,741801.3449,18925366.28,312434966.1,95857137.15,279326087.7,0,128,0,0,128,0,0,128,128,0,128,0,32
L-Tyrosine,C9 H11 N O3,Full match,Full match,Full match,Full match,0.04,181.0739,3.722,373109698.7,98.9,98.4,96.3,Multiple matches found,Multiple matches found,DDA for preferred ion,373109698.7,7182370.657,2556935.041,7122795.359,53587.55048,4528615.244,28851858.38,581397.373,16950425.3,3638644.715,1439543.242,751957.5898,64421.49027,373109698.7,7182370.657,2556935.041,7122795.359,53587.55048,4528615.244,28851858.38,581397.373,16950425.3,3638644.715,1439543.242,751957.5898,0,16,16,16,16,16,16,16,16,16,16,16,128
"1,2-di-O-methyl-4-[(2R)-2,4-dihydrobutyramido]-4,6-dideoxy-alpha-D-mannopyranoside",C12 H23 N O7,Full match,Invalid mass,No results,Not the top hit,0.19,293.14751,5.654,363905423.4,,,91,Multiple matches found,No matches found,DDA for preferred ion,318314180.5,60570086.87,1258101.18,52327830.63,343059.9095,287350763.3,363905423.4,12115338.49,5763457.343,2437493.093,1079132.764,12201264.95,135492.2372,318314180.5,60570086.87,1258101.18,52327830.63,343059.9095,287350763.3,363905423.4,12115338.49,5763457.343,2437493.093,1079132.764,12201264.95,128,128,16,128,128,128,0,128,16,16,128,128,32
muramic acid,C9 H17 N O7,Full match,Not the top hit,No results,Full match,0.06,251.10052,1.169,362707712.6,,,79.7,Multiple matches found,Multiple matches found,DDA for preferred ion,301796944.1,36492128.48,11083014.8,52269906.02,1974415.595,310005161.4,362707712.6,14306472.85,20536858.8,19749673.59,44039382.33,8473232.374,97079.37707,301796944.1,36492128.48,11083014.8,52269906.02,1974415.595,310005161.4,362707712.6,14306472.85,20536858.8,19749673.59,44039382.33,8473232.374,0,128,16,128,128,0,0,128,128,16,128,128,32
D-Raffinose,C18 H32 O16,No match,Invalid mass,No results,No results,43600.53,526.15107,1.58,361086212.2,94.9,73.5,,Multiple matches found,Multiple matches found,DDA for preferred ion,329143674.7,3353638.177,3364316.946,190908668.4,180741.7471,347167132.4,361086212.2,23355258.65,34197421.03,148609512.9,8862049.731,88488022.86,136372.3239,329143674.7,3353638.177,3364316.946,190908668.4,180741.7471,347167132.4,361086212.2,23355258.65,34197421.03,148609512.9,8862049.731,88488022.86,0,16,16,128,16,0,0,16,128,128,16,128,32
