FeatureID,Name,Formula,MW,# ChemSpider Results,# mzCloud Results,KEGG Pathways,Area: 60_CTRL_1246.1,Area: 59_CTRL_1154.1,Area: 57_CTRL_1246.3,Area: 47_CTRL_1177.1,Area: 46_CTRL_1154.2,Area: 41_CTRL_CTRL.1,Area: 40_CTRL_CTRL.3,Area: 19_CTRL_1246.2,Area: 14_CTRL_1177.3,Area: 10_CTRL_1154.3,Area: 2_CTRL_CTRL.2,Gap Status: 60_CTRL_1246.1,Gap Status: 59_CTRL_1154.1,Gap Status: 57_CTRL_1246.3,Gap Status: 47_CTRL_1177.1,Gap Status: 46_CTRL_1154.2,Gap Status: 41_CTRL_CTRL.1,Gap Status: 40_CTRL_CTRL.3,Gap Status: 38_BOCU_1177.2,Gap Status: 14_CTRL_1177.3,Gap Status: 10_CTRL_1154.3,Gap Status: 2_CTRL_CTRL.2,name4plot,C,H,N,O,Cl,S,P,H_to_C,O_to_C,NOSC,GFE,DBE,DBE_O,AI,AI_mod,DBE_AI,Class
Feature0268,leu-phe,C15 H22 N2 O3,278.16304,24,124,NA,12478561.45,3290742.36,25677328.7,8080960.367,3979470.292,9544103.764,7230921.491,22986508.95,33914900.17,1923756.057,7969609.132,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,leu-phe,15,22,2,3,0,0,0,1.4666666666666666,0.2,-0.666666666666667,79.30000000000001,6,3,0.1,0.21739130434782608,1,Lignin
Feature0267,Leu-Leu,C12 H24 N2 O3,244.17868000000001,13,147,Microbial metabolism in diverse environments;Other,33384012.82,7789921.306,72694439.22,26936224.91,7567826.816,24824952.8,17637342.19,74063057.05,58903779.59,5221361.591,20511999.35,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,No gap,Full gap,No gap,Full gap,Leu-Leu-peak2,12,24,2,3,0,0,0,2,0.25,-1,88.8,2,-1,-0.42857142857142855,-0.17647058823529413,-3,Lipid
Feature0266,Leu-Leu,C12 H24 N2 O3,244.17868000000001,13,114,Microbial metabolism in diverse environments;Other,28013220.74,3738738.867,46350591.13,16691264.28,5774092.161,41702203.29,33340116.69,38245802.83,38711401.38,2547279.782,35594223.77,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,No gap,Full gap,Full gap,Full gap,Leu-Leu-peak1,12,24,2,3,0,0,0,2,0.25,-1,88.8,2,-1,-0.42857142857142855,-0.17647058823529413,-3,Lipid
Feature0265,Leu-Glu,C11 H20 N2 O5,260.13722,12,14,NA,841504.2558,546734.0576,1941358.952,28652852.57,8597359.381,11691822.38,8767880.548,32577136.06,15148902.99,6751042.624,10353885.17,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Leu-Glu,11,20,2,5,0,0,0,1.8181818181818181,0.45454545454545453,-0.3636363636363633,70.66363636363636,3,-2,-1,-0.23076923076923078,-4,Protein
Feature0264,Leu-arg,C12 H25 N5 O3,287.19577,8,12,NA,23657611.67,16563498,54405486.58,710219.0044,295325.1521,1330225.638,1565761.408,77843397.41,3551306.993,2593876.331,382517.165,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Leu-arg-peak2,12,25,5,3,0,0,0,2.0833333333333335,0.25,-0.33333333333333304,69.79999999999998,3,0,-1.25,-0.6363636363636364,-5,Lipid
Feature0263,Leu-arg,C12 H25 N5 O3,287.19573,8,12,NA,428303.8887,9856143.938,693820.0994,255717.017,119948.8632,389949.3671,431118.6873,721505.53,2614919.751,21330022.9,280695.8389,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Leu-arg-peak1,12,25,5,3,0,0,0,2.0833333333333335,0.25,-0.33333333333333304,69.79999999999998,3,0,-1.25,-0.6363636363636364,-5,Lipid
Feature0262,Leu-ala,C9 H18 N2 O3,202.1317,21,276,NA,1020439.17,176837.2085,1117834.416,24291599.76,9014472.512,39658447.46,28979596.41,79128961.68,40035718.87,7843657.754,34288809.7,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Leu-ala-peak3,9,18,2,3,0,0,0,2,0.3333333333333333,-0.666666666666667,79.30000000000001,2,-1,-0.75,-0.2727272727272727,-3,Protein
Feature0261,Leu-ala,C9 H18 N2 O3,202.1317,21,261,NA,20813861.88,12612352.02,53278934.17,1154950.623,150517.2119,162958.9821,1757053.627,3019470.847,947897.5418,690243.3153,4486872.296,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Leu-ala-peak2,9,18,2,3,0,0,0,2,0.3333333333333333,-0.666666666666667,79.30000000000001,2,-1,-0.75,-0.2727272727272727,-3,Protein
Feature0260,Leu-ala,C9 H18 N2 O3,202.1317,21,301,NA,1426432.391,208051.9596,2554132.351,10335106.5,3651022.863,29449717.81,23149569.46,45196020.35,20564139.28,1673601.085,26261838.54,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Leu-ala-peak1,9,18,2,3,0,0,0,2,0.3333333333333333,-0.666666666666667,79.30000000000001,2,-1,-0.75,-0.2727272727272727,-3,Protein
Feature0259,Lauryldimethylamine oxide,C14 H31 N O,229.24056,2,4,NA,58305294.29,59561341.64,56104278.73,152270.3813,749512.2812,331907.5476,330348.0029,373767.4425,385479.2919,820337.6088,270847.8259,Full gap,No gap,No gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Lauryldimethylamine oxide,14,31,1,1,0,0,0,2.2142857142857144,0.07142857142857142,-1.8571428571428568,113.22857142857141,0,-1,-0.16666666666666666,-0.12,-2,Lipid
Feature0258,Lauramide,C12 H25 N O,199.19362,14,0,NA,36214837.68,2195287.697,2310610.054,55831816.12,52201542.33,54008074.19,54974768.46,50571763.57,56037549.02,56560138.41,53687091.03,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Lauramide,12,25,1,1,0,0,0,2.0833333333333335,0.08333333333333333,-1.666666666666667,107.80000000000001,1,0,-0.1,-0.047619047619047616,-1,Lipid
Feature0257,Lactamide,C3 H7 N O2,89.04769,17,3,Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Biosynthesis of amino acids;Biosynthesis of plant secondary metabolites;Biosynthesis of cofactors;ABC transporters;Protein digestion and absorption;Aminoacyl-tRNA biosynthesis;Central carbon metabolism in cancer;D-Amino acid metabolism;Cyanoamino acid metabolism;Other,23862380.68,164808481.4,37185442.78,190725778.1,88205898.81,178356168.6,152678179.1,59152355.38,116682344.5,135349958.6,147410364.7,Full gap,Full gap,Full gap,No gap,Full gap,Full gap,No gap,No gap,Full gap,Full gap,No gap,Lactamide,3,7,1,2,0,0,0,2.3333333333333335,0.6666666666666666,0,60.3,1,-1,-Inf,-1,-2,Other
Feature0256,L-Tyrosine,C9 H11 N O3,181.07391,67,82,"Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of amino acids;Biosynthesis of plant secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of cofactors;Phenylpropanoid biosynthesis;Protein digestion and absorption;Phenylalanine, tyrosine and tryptophan biosynthesis;Aminoacyl-tRNA biosynthesis;Central carbon metabolism in cancer;Biosynthesis of various plant secondary metabolites;Cyanoamino acid metabolism;Other",761664.1125,1467602.911,2056970.502,546994858,212019685,442683759.9,346957917.8,168759857.7,188222689.2,268614448.7,20414366.35,Full gap,Full gap,Full gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,L-Tyrosine,9,11,1,3,0,0,0,1.2222222222222223,0.3333333333333333,-0.22222222222222232,66.63333333333333,5,2,0.2,0.38461538461538464,1,Lignin
Feature0255,L-Threonine,C4 H9 N O3,119.05821,37,24,Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Biosynthesis of amino acids;Biosynthesis of plant secondary metabolites;ABC transporters;Protein digestion and absorption;Aminoacyl-tRNA biosynthesis;D-Amino acid metabolism;Other,18139259.54,97124989.44,30153319.63,115300455.5,57889492.72,90290374.47,77178311.84,50252275.87,53631965.26,75919268.28,81669777.14,Full gap,Full gap,Full gap,Full gap,No gap,No gap,No gap,Full gap,Full gap,Full gap,Full gap,L-Threonine,4,9,1,3,0,0,0,2.25,0.75,0,60.3,1,-2,-Inf,-1,-3,Carbohydrate
Feature0254,L-Serine,C3 H7 N O3,105.04253,11,20,Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Biosynthesis of amino acids;Biosynthesis of plant secondary metabolites;Biosynthesis of cofactors;ABC transporters;Protein digestion and absorption;Aminoacyl-tRNA biosynthesis;Central carbon metabolism in cancer;D-Amino acid metabolism;Cyanoamino acid metabolism;Other,18160202.87,98655474.87,28507410.57,113143045.6,60864703.54,58737455.87,48422510.09,34050397.16,38732900.34,69129475.99,51298448.97,Full gap,Full gap,No gap,Full gap,No gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,L-Serine,3,7,1,3,0,0,0,2.3333333333333335,1,0.6666666666666665,41.3,1,-2,3,-3,-3,Carbohydrate
Feature0253,L-Saccharopine,C11 H20 N2 O6,276.13215,5,36,Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of amino acids;Other,36037462.37,526485828.7,17303263.84,90297151.64,197206268.2,6051007.488,6542701.136,31885703.77,360692315.5,515776474.2,4614334.278,Full gap,Full gap,Missing ions,Full gap,Full gap,Missing ions,Full gap,Full gap,Missing ions,Full gap,Missing ions,L-Saccharopine,11,20,2,6,0,0,0,1.8181818181818181,0.5454545454545454,-0.18181818181818166,65.48181818181817,3,-3,-1.6666666666666667,-0.3333333333333333,-5,Protein
Feature0252,L-Pyroglutamic acid,C5 H7 N O3,129.04256,23,89,Metabolic pathways;Biosynthesis of secondary metabolites;D-Amino acid metabolism;Other,510530060.7,10394869.14,577332534.3,16670722.6,8329963.896,600294088.8,496600651.4,698322611,12119481.34,8998963.511,516811025.3,Full gap,Missing ions,Full gap,Missing ions,Full gap,Full gap,No gap,Full gap,Full gap,Missing ions,Full gap,L-Pyroglutamic acid,5,7,1,3,0,0,0,1.4,0.6,0.3999999999999999,48.9,3,0,-1,0.2,-1,Lignin
Feature0251,L-Phenylalanine,C9 H11 N O2,165.07901,123,94,"Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of amino acids;Biosynthesis of plant secondary metabolites;2-Oxocarboxylic acid metabolism;ABC transporters;Phenylpropanoid biosynthesis;Biosynthesis of phenylpropanoids;Protein digestion and absorption;Phenylalanine, tyrosine and tryptophan biosynthesis;Aminoacyl-tRNA biosynthesis;Central carbon metabolism in cancer;Tropane, piperidine and pyridine alkaloid biosynthesis;Biosynthesis of various plant secondary metabolites;D-Amino acid metabolism;Cyanoamino acid metabolism;Other",92221930.89,1141644596,201769281.3,1803152892,703360674.7,1321929494,1062404410,397651289,581531259.8,828622718.3,1116037422,Full gap,Missing ions,No gap,No gap,No gap,Missing ions,No gap,No gap,No gap,Missing ions,No gap,L-Phenylalanine,9,11,1,2,0,0,0,1.2222222222222223,0.2222222222222222,-0.44444444444444464,72.96666666666667,5,3,0.3333333333333333,0.42857142857142855,2,Lignin
Feature0250,L-Lysine,C6 H14 N2 O2,146.10554,21,98,"Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Biosynthesis of amino acids;Biosynthesis of plant secondary metabolites;2-Oxocarboxylic acid metabolism;ABC transporters;Protein digestion and absorption;Aminoacyl-tRNA biosynthesis;Tropane, piperidine and pyridine alkaloid biosynthesis;D-Amino acid metabolism;Other",10292261.9,71353244.74,18686598.7,121325646.1,49942320.98,44982126.62,43023706.88,25026480.15,64658029.41,60889972.66,45634848.85,Full gap,Full gap,Full gap,Full gap,No gap,Full gap,Missing ions,Missing ions,Missing ions,Full gap,Missing ions,L-Lysine,6,14,2,2,0,0,0,2.3333333333333335,0.3333333333333333,-0.666666666666667,79.30000000000001,1,-1,-1.5,-0.6666666666666666,-3,Other
Feature0249,L-Iditol,C6 H14 O6,182.07905,11,37,Metabolic pathways;ABC transporters;Other,29588352.4,1029192204,26482342.27,1107661178,1017050933,34148301.47,32952819.79,29714395.95,660657706.4,951442711.9,32532257.99,Full gap,Full gap,No gap,Full gap,No gap,No gap,Full gap,No gap,No gap,Full gap,No gap,L-Iditol,6,14,0,6,0,0,0,2.3333333333333335,1,-0.33333333333333304,69.79999999999998,0,-6,-Inf,-1,-6,Carbohydrate
Feature0248,L-Histidine,C6 H9 N3 O2,155.06951,29,52,Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of amino acids;Biosynthesis of plant secondary metabolites;ABC transporters;Protein digestion and absorption;Aminoacyl-tRNA biosynthesis;Central carbon metabolism in cancer;D-Amino acid metabolism;Other,4484570.758,21614278.52,5602982.919,27205476.22,16086127.86,16034034.04,15768065.32,7260235.308,17193619.85,19842212.61,16891431.93,Full gap,Full gap,Full gap,Full gap,No gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,L-Histidine,6,9,3,2,0,0,0,1.5,0.3333333333333333,0.6666666666666665,41.3,4,2,-1,0,-1,Protein
Feature0247,L-Glutamine,C5 H10 N2 O3,146.06915,22,33,Metabolic pathways;Microbial metabolism in diverse environments;Biosynthesis of amino acids;Biosynthesis of plant secondary metabolites;Biosynthesis of cofactors;ABC transporters;Protein digestion and absorption;Aminoacyl-tRNA biosynthesis;Central carbon metabolism in cancer;D-Amino acid metabolism;Other,88980664.88,245552230.5,82848785.9,473898693.9,91878708.01,3491233.919,7351474.281,135092346.8,208225958.7,230788230.5,6007394.805,Full gap,Full gap,Missing ions,Full gap,Missing ions,Full gap,Full gap,No gap,Full gap,Full gap,Full gap,L-Glutamine,5,10,2,3,0,0,0,2,0.6,0.3999999999999999,48.9,2,-1,-Inf,-1,-3,Amino Sugar
Feature0246,L-Glutamic acid,C5 H9 N O4,147.05318,29,23,Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Biosynthesis of amino acids;Biosynthesis of plant secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of cofactors;ABC transporters;Protein digestion and absorption;Aminoacyl-tRNA biosynthesis;Central carbon metabolism in cancer;D-Amino acid metabolism;Cyanoamino acid metabolism;Other,503275993.7,527719280.5,318910892,938686073.3,566928853.6,855622206.1,648172855.4,1160097873,332712272.6,851441432.8,600291571.1,Full gap,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,L-Glutamic acid,5,9,1,4,0,0,0,1.8,0.8,0.3999999999999999,48.9,2,-2,-Inf,-0.5,-3,Carbohydrate
Feature0245,L-Ergothioneine,C9 H15 N3 O2 S,229.0885,8,1,NA,2050164.352,8778626.632,1841602.521,9771508.184,15146219.88,3174701.785,3318875.317,3255190.72,3756670.346,4844097.425,3031035.296,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,L-Ergothioneine,9,15,3,2,0,1,0,1.6666666666666667,0.2222222222222222,0,60.3,4,2,-0.6666666666666666,-0.25,-2,Lipid
Feature0244,L-Cystathionine,C7 H14 N2 O4 S,222.06742,10,4,Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of amino acids;Biosynthesis of cofactors;Other,14502680.51,40006941.52,408913.0521,67325564.86,24169268.58,3209623.646,2548893.669,3413840.569,32965996.24,35658625.88,3384209.584,Full gap,Full gap,No gap,Full gap,No gap,No gap,Full gap,No gap,Full gap,Full gap,Full gap,L-Cystathionine,7,14,2,4,0,1,0,2,0.5714285714285714,0.2857142857142856,52.15714285714286,2,-2,-Inf,-1.5,-5,Amino Sugar
Feature0243,L-Aspartic acid,C4 H7 N O4,133.03749,9,8,Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Biosynthesis of amino acids;Biosynthesis of plant secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of cofactors;ABC transporters;Protein digestion and absorption;Aminoacyl-tRNA biosynthesis;Central carbon metabolism in cancer;Biosynthesis of various plant secondary metabolites;D-Amino acid metabolism;Cyanoamino acid metabolism;Other,33743311.7,116932069.8,38127806.62,181673033.5,93401722.05,112001092.5,98340047.59,45554740.23,72885305.27,110137435.3,89733916.39,Full gap,No gap,Full gap,Full gap,No gap,Full gap,No gap,No gap,Full gap,Full gap,No gap,L-Aspartic acid,4,7,1,4,0,0,0,1.75,1,1,31.799999999999997,2,-2,3,-1,-3,Carbohydrate
Feature0242,L-alpha-Glycerylphosphorylcholine,C8 H20 N O6 P,257.10283,2,6,NA,849618245.2,1659604405,1394425221,756226785.5,859838218.3,972264407.9,952435254,1506954002,1055706174,1495452727,1052008541,Full gap,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,L-alpha-Glycerylphosphorylcholine,8,20,1,6,0,0,1,2.5,0.75,-1.25,95.925,0,-6,-Inf,-1.6666666666666667,-8,Carbohydrate
Feature0241,L-Alanyl-L-proline,C8 H14 N2 O3,186.10045,15,48,NA,30606728.92,43381600.24,93452039.41,93614583.3,23730487.92,23044578.07,21685120.55,144475382.6,24662965.68,33270116.28,23214241.93,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,L-Alanyl-L-proline,8,14,2,3,0,0,0,1.75,0.375,-0.25,67.425,3,0,-0.6666666666666666,-0.1111111111111111,-2,Protein
Feature0240,L-(+)-Valine,C5 H11 N O2,117.07894,43,44,Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Biosynthesis of amino acids;Biosynthesis of plant secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of cofactors;ABC transporters;Protein digestion and absorption;Aminoacyl-tRNA biosynthesis;Central carbon metabolism in cancer;D-Amino acid metabolism;Cyanoamino acid metabolism;Other,22554637.62,3462906.415,37870238.42,1083726.454,219177.1442,960997.4046,1027916.607,32380087.44,1563472.466,3882413.7,695202.6605,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,L-(+)-Valine,5,11,1,2,0,0,0,2.2,0.4,-0.7999999999999998,83.1,1,-1,-1,-0.3333333333333333,-2,Protein
Feature0239,Isoleucine,C6 H13 N O2,131.0946,47,34,"Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Biosynthesis of amino acids;Biosynthesis of plant secondary metabolites;2-Oxocarboxylic acid metabolism;ABC transporters;Protein digestion and absorption;Aminoacyl-tRNA biosynthesis;Central carbon metabolism in cancer;Tropane, piperidine and pyridine alkaloid biosynthesis;Cyanoamino acid metabolism;Other",361386.7654,17679215.81,1071993.743,554864127.2,208585834.5,323404595.2,255490185.1,95382445.27,134066124,222664526.6,262081070.4,Full gap,Full gap,Full gap,No gap,No gap,No gap,No gap,No gap,No gap,Full gap,No gap,Isoleucine,6,13,1,2,0,0,0,2.1666666666666665,0.3333333333333333,-1,88.8,1,-1,-0.6666666666666666,-0.25,-2,Protein
Feature0238,Isoamylamine,C5 H13 N,87.10481,17,3,NA,1268747.091,351692.9641,243013.4546,21332943.13,444411.6422,1021631.274,1233445.615,1622101.866,10706383.12,495720.3832,1277761.502,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,No gap,Full gap,Full gap,Isoamylamine,5,13,1,0,0,0,0,2.6,0,-2,117.3,0,0,-0.25,-0.25,-1,Other
Feature0237,Inosine-5'-monophosphate (IMP),C10 H13 N4 O8 P,348.04715,4,50,Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of plant secondary metabolites;Biosynthesis of cofactors;Other,170404.546,64262.11878,138159.5824,64896.56495,60535.7566,102605441.9,79365815.84,493749.9999,73458.04268,64190.35879,87043144.7,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,No gap,Full gap,Full gap,Full gap,Full gap,Inosine-5'-monophosphate (IMP),10,13,4,8,0,0,1,1.3,0.8,1,31.799999999999997,7,-1,2,-2,-6,Tannin
Feature0236,Inosine,C10 H12 N4 O5,268.08078,0,28,Metabolic pathways;ABC transporters;Other,1950446.696,6662575.406,2887881.526,19458880.84,2354668.368,120594724,108319191.6,10304263.51,8684615.657,8912727.066,112257722.1,Full gap,Full gap,Full gap,No gap,Full gap,Full gap,No gap,Full gap,Full gap,Full gap,Full gap,Inosine,10,12,4,5,0,0,0,1.2,0.5,1,31.799999999999997,7,2,-2,0.14285714285714285,-2,Lignin
Feature0235,Indole-3-acetic acid,C10 H9 N O2,175.06333,68,6,Metabolic pathways;Other,617075.8234,34051079.01,1541191.294,17107587.59,10908578.26,1484993.002,1510771.202,1559502.324,27435708.39,33643703.42,1739884.026,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Indole-3-acetic acid,10,9,1,2,0,0,0,0.9,0.2,-0.20000000000000018,66,7,5,0.5714285714285714,0.625,4,Lignin
Feature0234,Imidazoleacetic acid,C5 H6 N2 O2,126.04289,38,29,Metabolic pathways;Other,4269240.829,28858252.02,4374589.298,22205171.66,28838637.11,3485458.859,2977773.427,5363813.452,20282316.29,28875966.09,4016806.016,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,No gap,Imidazoleacetic acid,5,6,2,2,0,0,0,1.2,0.4,0.7999999999999998,37.5,4,2,0,0.5,0,Lignin
Feature0233,Hypoxanthine,C5 H4 N4 O,136.0385,14,38,Metabolic pathways;Other,594546.1394,1633614.543,780750.7136,5110270.64,377688.0393,63107609.43,49871183.79,3649978.057,1866523.062,2158604.145,51188933.42,Full gap,Full gap,Full gap,No gap,Full gap,Full gap,No gap,Full gap,Full gap,Full gap,Full gap,Hypoxanthine,5,4,4,1,0,0,0,0.8,0.2,2,3.299999999999997,6,5,Inf,3,1,Condensed HC
Feature0232,Hordenine,C10 H15 N O,165.11539,74,65,Metabolic pathways;Biosynthesis of secondary metabolites;Other,53439991.45,125269.5699,44015643.5,131430.8957,149365.801,193838066.3,162988548.7,91775549.21,132293.0115,89419.42369,166508118.4,Full gap,Full gap,Full gap,No gap,Full gap,Full gap,No gap,Full gap,Full gap,Full gap,Full gap,Hordenine,10,15,1,1,0,0,0,1.5,0.1,-1,88.8,4,3,0.25,0.29411764705882354,2,Lipid
Feature0231,"Hexahydro[1,2,4]triazino[5,6-e][1,2,4]triazine-3,6(2H,4H)-dione",C4 H8 N6 O2,172.07118,1,8,NA,1340521.072,3342038.709,1126296.142,2595835.959,41788868.34,536234.5667,675673.2563,2705135.043,28407663.71,4338453.826,845382.1441,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,"Hexahydro[1,2,4]triazino[5,6-e][1,2,4]triazine-3,6(2H,4H)-dione",4,8,6,2,0,0,0,2,0.5,3.5,-39.45,4,2,1,1,-4,Protein
Feature0230,HC blue 2,C12 H19 N3 O5,285.13251,2,12,NA,32813781.14,6591792.998,31371047.01,4660088.079,7568613.213,4104295.318,4232151.926,40340853.36,6128420.075,6669721.489,4134005.575,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,HC blue 2,12,19,3,5,0,0,0,1.5833333333333333,0.4166666666666667,0,60.3,5,0,-0.75,-0.07692307692307693,-3,Protein
Feature0229,H-arg-glu-OH,C11 H21 N5 O5,303.15427,3,2,NA,4650617.229,10803334.06,15608064.23,23938639.02,8336621.232,4359837.018,3621682.305,22813827.98,10402132.77,6758764.657,4546617.144,Full gap,Full gap,Full gap,Full gap,No gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,H-arg-glu-OH,11,21,5,5,0,0,0,1.9090909090909092,0.45454545454545453,0.36363636363636376,49.93636363636363,4,-1,-6,-1,-6,Protein
Feature0228,Guanine,C5 H5 N5 O,151.04943,21,8,Metabolic pathways;Other,555745.0727,6247015.929,413335.7739,17501212.18,22829620.62,55459024.57,49716377.1,1146829.075,2546987.799,5070267.718,52980847.52,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Guanine,5,5,5,1,0,0,0,1,0.2,2.4,-8.099999999999994,6,5,-0,-1,0,Lignin
Feature0227,Glycyl-L-leucine,C8 H16 N2 O3,188.11612,27,13,Metabolic pathways;Other,284654.4817,470210.3207,562224.7484,78265616.66,21563437.93,42029826.11,35640877.49,49191271.51,24507729.89,17657128.76,38687639.52,Full gap,Full gap,Full gap,Full gap,No gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Glycyl-L-leucine,8,16,2,3,0,0,0,2,0.375,-0.5,74.55,2,-1,-1,-0.3333333333333333,-3,Protein
Feature0226,Glycerylphosphorylethanolamine,C5 H14 N O6 P,215.05586,8,12,Metabolic pathways;Other,27885554.78,64478019.87,54261995.15,36209753.53,19808018.41,7251051.805,7877128.898,44697876.74,97957972.84,81083024.43,6401766.965,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Glycerylphosphorylethanolamine,5,14,1,6,0,0,1,2.8,1.2,-0.7999999999999998,83.1,0,-6,2.6666666666666665,-Inf,-8,Other
Feature0225,Glycerol 3-phosphate,C3 H9 O6 P,172.01368,9,48,Metabolic pathways;Biosynthesis of secondary metabolites;ABC transporters;Other,6028089.064,59206992.75,9042975.826,154258886.2,66240040.64,14410600.81,10079490.36,10868628.81,87440605,33781016.27,11759851.94,Full gap,Full gap,No gap,Full gap,No gap,No gap,Full gap,No gap,Full gap,Full gap,No gap,Glycerol 3-phosphate,3,9,0,6,0,0,1,3,2,-0.666666666666667,79.30000000000001,0,-6,1.75,4,-7,Other
Feature0224,Glutaric acid,C5 H8 O4,132.04224,29,0,Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Biosynthesis of amino acids;2-Oxocarboxylic acid metabolism;Degradation of aromatic compounds;Other,5240488.37,1976377.105,4531431.952,2400320.291,1141532.226,15497446.22,14344623.41,7054680.171,1651338.497,1625626.122,10830875.13,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Glutaric acid,5,8,0,4,0,0,0,1.6,0.8,0,60.3,2,-2,-2,0,-2,Carbohydrate
Feature0223,Glucosamine,C6 H13 N O5,179.07941,25,45,Metabolic pathways;Biosynthesis of secondary metabolites;Other,46379627.61,31766581.9,52922201.86,60831285.45,16571260.01,5470187.186,4892654.72,58843338.7,63081016.38,29459718.26,5587684.653,Full gap,No gap,Full gap,Full gap,No gap,Full gap,Full gap,Full gap,No gap,Full gap,Full gap,Glucosamine,6,13,1,5,0,0,0,2.1666666666666665,0.8333333333333334,0,60.3,1,-4,-Inf,-1,-5,Carbohydrate
Feature0222,Furan,C4 H4 O,68.02622,4,0,Other,23119132.12,62906212.75,21678385.98,74259231.11,57209760.83,47096016.22,21852931.52,24665467.62,56234149.9,58994951.36,22600098.69,Full gap,Full gap,No gap,Full gap,No gap,No gap,Full gap,No gap,No gap,Full gap,No gap,Furan,4,4,0,1,0,0,0,1,0.25,-0.5,74.55,3,2,0.6666666666666666,0.7142857142857143,2,Lignin
